rule_id,rule_name,rule_type,scope_type,scope_ref,rule_logic,violation_effect,severity,source
CR-0001,参数AITRAINSWITCH和AITRAINSAMPLE修改60秒后对新激活用户生效。参数AITR...,effect_scope,command,UDG:SET SAAITRAINPARA,参数AITRAINSWITCH和AITRAINSAMPLE修改60秒后对新激活用户生效。参数AITRAINTHRES、AITRAINPERIOD和AIDBVALIDTIME修改后立即生效。,,info,command_notes
CR-0002,该命令最大记录数为1。,cardinality,command,UDG:SET SAAITRAINPARA,该命令最大记录数为1。,,warning,command_notes
CR-0003,该命令存在系统初始记录，参数的初始设置值如下表：,general,command,UDG:SET SAAITRAINPARA,该命令存在系统初始记录，参数的初始设置值如下表：,,info,command_notes
CR-0004,该命令执行后立即生效。,general,command,UDG:MOD SRVCHAIN,该命令执行后立即生效。,,info,command_notes
CR-0005,修改被Rule关联的SrvChain配置的UPSRVCHAINID或DNSRVCHAINID参数数值...,general,command,UDG:MOD SRVCHAIN,修改被Rule关联的SrvChain配置的UPSRVCHAINID或DNSRVCHAINID参数数值时，请确保SFIP上已关联相应的Uplink ID或Downlink ID，保证分流业务不受影响。,,info,command_notes
CR-0006,该命令执行后立即生效。,general,command,UDG:ADD SRVCHAIN,该命令执行后立即生效。,,info,command_notes
CR-0007,该命令最大记录数为500。,cardinality,command,UDG:ADD SRVCHAIN,该命令最大记录数为500。,,warning,command_notes
CR-0008,修改被Rule关联的SrvChain配置的UPSRVCHAINID或DNSRVCHAINID参数数值...,general,command,UDG:ADD SRVCHAIN,修改被Rule关联的SrvChain配置的UPSRVCHAINID或DNSRVCHAINID参数数值时，请确保SFIP上已关联相应的Uplink ID或Downlink ID，保证分流业务不受影响。,,info,command_notes
CR-0009,该命令执行后立即生效。,general,command,UDG:SET SFIPCPUALMTHD,该命令执行后立即生效。,,info,command_notes
CR-0010,该命令最大记录数为1。,cardinality,command,UDG:SET SFIPCPUALMTHD,该命令最大记录数为1。,,warning,command_notes
CR-0011,该命令存在系统初始记录，参数的初始设置值如下表：,general,command,UDG:SET SFIPCPUALMTHD,该命令存在系统初始记录，参数的初始设置值如下表：,,info,command_notes
CR-0012,该命令执行后立即生效。,general,command,UDG:SET DNSINFO,该命令执行后立即生效。,,info,command_notes
CR-0013,在执行命令前，首先需要在DNS运维界面配置具有API权限和管理员权限的用户，添加配置模板信息，然后才...,general,command,UDG:SET DNSINFO,在执行命令前，首先需要在DNS运维界面配置具有API权限和管理员权限的用户，添加配置模板信息，然后才可以执行该命令进行用户、密码、配置模板信息同步。,,info,command_notes
CR-0014,当DNS运维界面配置的API用户名和密码发生更改，需要重新执行该命令，同步新的用户名、密码信息。,general,command,UDG:SET DNSINFO,当DNS运维界面配置的API用户名和密码发生更改，需要重新执行该命令，同步新的用户名、密码信息。,,info,command_notes
CR-0015,当DNS运维界面上的配置模板名称发生更改，需要重新执行该命令，同步新的配置模板名称。,general,command,UDG:SET DNSINFO,当DNS运维界面上的配置模板名称发生更改，需要重新执行该命令，同步新的配置模板名称。,,info,command_notes
CR-0016,在DNS运维界面配置用户名时，用户名的长度为1~255个字符，避免输入分号、逗号、等号、双引号、单引...,general,command,UDG:SET DNSINFO,在DNS运维界面配置用户名时，用户名的长度为1~255个字符，避免输入分号、逗号、等号、双引号、单引号、连续多个空格、首位是空格、末位是空格。,,info,command_notes
CR-0017,在DNS运维界面配置用户的密码时，密码的长度为8~63个字符。,general,command,UDG:SET DNSINFO,在DNS运维界面配置用户的密码时，密码的长度为8~63个字符。,,info,command_notes
CR-0018,在DNS运维界面添加配置模板名称时，配置模板名称的长度为1~255个字符，避免输入分号、逗号、等号、...,general,command,UDG:SET DNSINFO,在DNS运维界面添加配置模板名称时，配置模板名称的长度为1~255个字符，避免输入分号、逗号、等号、双引号、单引号、连续多个空格、首位是空格、末位是空格。,,info,command_notes
CR-0019,最多有5个任务同时处于处理流程中。,general,command,UDG:GEN DNSTASKID,最多有5个任务同时处于处理流程中。,,info,command_notes
