1、参数表,,,,,,,,,,,,,,,,,,,,,,,,,,,,
命令,参数ID,参数标识,参数类型,可必选,条件,枚举,位域,默认值,最大值,最小值,区间,最大长度,最小长度,长度,关联命令,关联参数,是否区分大小写,字符串格式,取值范围,正则id,说明,网元类型,网元版本,参数名称,比较关系,禁输值,条件区间,继承关系
SET SAAITRAINPARA,1,AITRAINTHRES,整数,可选,,,,,10000,5000,,,,,,,否,,,,"可选必选说明：可选参数
参数含义：该参数用于配置intelligence训练任务中有效学习记录的流量阈值。
数据来源：本端规划
取值范围：整数类型，取值范围5000~10000，单位是万分比。
默认值：无
配置原则：无",UDG,20.13.2,Intelligence训练阈值,,,,新增
SET SAAITRAINPARA,3,AITRAINPERIOD,整数,可选,,,,,180,10,,,,,,,否,,,,"可选必选说明：可选参数
参数含义：该参数用于配置intelligence训练任务的周期。
数据来源：本端规划
取值范围：整数类型，取值范围10~180，单位是分钟。
默认值：无
配置原则：该参数修改后会影响SA性能优化库生效时长。生效时长=intelligence训练周期 *SA性能优化库有效时间。参数值改小后，SA性能优化库可能从生效状态变为失效状态；参数值改大后，SA性能优化库可能从失效状态变为生效状态。",UDG,20.13.2,Intelligence训练周期（分钟）,,,,新增
SET SAAITRAINPARA,4,AITRAINSAMPLE,整数,可选,,,,,10000,0,,,,,,,否,,,,"可选必选说明：可选参数
参数含义：该参数用于配置intelligence训练任务订阅流量的抽样率。
数据来源：本端规划
取值范围：整数类型，取值范围0~10000，单位是万分比。
默认值：无
配置原则：该值如果配置过大会降低intelligence能耗优化流量比例，影响优化效果；如果配置过小，可能导致训练结果不准确。建议配置为100～500。",UDG,20.13.2,Intelligence训练抽样率,,,,新增
SET SAAITRAINPARA,5,AIDBVALIDTIME,整数,可选,,,,,65535,2,,,,,,,否,,,,"可选必选说明：可选参数
参数含义：该参数用于配置训练生成的SA性能优化库有效时间相对于训练周期的倍数。
数据来源：本端规划
取值范围：数值类型，输入长度范围为2～65535。
默认值：无
配置原则：该参数修改后会影响SA性能优化库生效时长。生效时长=intelligence训练周期 * SA性能优化库有效时间。参数值改小后，SA性能优化库可能从生效状态变为失效状态；参数值改大后，SA性能优化库可能从失效状态变为生效状态。",UDG,20.13.2,SA性能优化库有效时间,,,,新增
SET SAAITRAINPARA,2,AITRAINSWITCH,枚举,可选,,"[""DISABLE"", ""ENABLE""]",,,,,,,,,,,否,,,,"可选必选说明：可选参数
参数含义：该参数用于配置intelligence训练功能开关。
数据来源：本端规划
取值范围：枚举类型。
DISABLE：Intelligence训练功能关闭。ENABLE：Intelligence训练功能开启。
默认值：无
配置原则：使能intelligence能耗优化功能，需要打开AI训练功能开关。",UDG,20.13.2,Intelligence训练开关,,,,新增
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2、MOD 规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOD 命令,ADD 命令,索引参数,共有参数,MOD 独立存在,MOD 参数,ADD 参数,预留其他参数关联条件,特殊关联条件(使用独有的groovy脚本实现的核查),网元类型,网元版本,错误信息英文,错误信息中文,继承,,,,,,,,,,,,,,,
MOD ABNTRAFFICDT,ADD ABNTRAFFICDT,APN,"APN,SWITCH,TRAFFICBEHAVIORSWITCH",2,,,,,UDG,20.13.2,The ADD ABNTRAFFICDT command modified by MOD ABNTRAFFICDT does not exist.,MOD ABNTRAFFICDT修改的ADD ABNTRAFFICDT不存在,,,,,,,,,,,,,,,,
MOD ABSTIMERANGE,ADD ABSTIMERANGE,"TIMERANGENAME,ABSTIMERANGESEQ","STARTTIME,STARTDATE,ENDTIME,ENDDATE,TIMERANGENAME,CFGDOMAINNAME,ABSTIMERANGESEQ",2,,,,,UDG,20.13.2,The ADD ABSTIMERANGE command modified by MOD ABSTIMERANGE does not exist.,MOD ABSTIMERANGE修改的ADD ABSTIMERANGE不存在,,,,,,,,,,,,,,,,
MOD ACL,ADD ACL,ACLNAME,"ACLNAME,CFGDOMAINNAME,MATCHORDER",2,,,,,UDG,20.13.2,The ADD ACL command modified by MOD ACL does not exist.,MOD ACL修改的ADD ACL不存在,,,,,,,,,,,,,,,,
MOD ACLBINDAPN,ADD ACLBINDAPN,"APN,DIRECTION","APN,ACLNAME,TIMERANGENAME,DIRECTION",2,,,,,UDG,20.13.2,The ADD ACLBINDAPN command modified by MOD ACLBINDAPN does not exist.,MOD ACLBINDAPN修改的ADD ACLBINDAPN不存在,,,,,,,,,,,,,,,,
