product,feature_id,category,feature_dir,doc_name,has_task_example,has_operation_steps,has_operation_flow,doc_path
UNC,WSFD-225002,5G LAN解决方案,WSFD-225002 5G LAN跨SMF群组管理,激活5G LAN跨SMF群组管理_09652117,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\5G LAN解决方案\WSFD-225002 5G LAN跨SMF群组管理\激活5G LAN跨SMF群组管理_09652117.md
UNC,WSFD-216001,eMTC业务功能,WSFD-216001 eMTC终端省电PSM模式,激活eMTC终端省电PSM模式_77396101,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\eMTC业务功能\WSFD-216001 eMTC终端省电PSM模式\激活eMTC终端省电PSM模式_77396101.md
UNC,WSFD-216102,eMTC业务功能,WSFD-216102 eMTC基于eNodeB覆盖等级的寻呼,激活eMTC基于eNodeB覆盖等级的寻呼_77396885,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\eMTC业务功能\WSFD-216102 eMTC基于eNodeB覆盖等级的寻呼\激活eMTC基于eNodeB覆盖等级的寻呼_77396885.md
UNC,WSFD-216103,eMTC业务功能,WSFD-216103 eMTC低优先级接入控制,激活eMTC低优先级接入控制_77396886,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\eMTC业务功能\WSFD-216103 eMTC低优先级接入控制\激活eMTC低优先级接入控制_77396886.md
UNC,WSFD-216104,eMTC业务功能,WSFD-216104 基于APN的eMTC终端接入速率控制,激活基于APN的eMTC终端接入速率控制_77396887,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\eMTC业务功能\WSFD-216104 基于APN的eMTC终端接入速率控制\激活基于APN的eMTC终端接入速率控制_77396887.md
UNC,WSFD-216105,eMTC业务功能,WSFD-216105 基于服务PLMN的eMTC终端接入速率控制,激活基于服务PLMN的eMTC终端接入速率控制_77396889,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\eMTC业务功能\WSFD-216105 基于服务PLMN的eMTC终端接入速率控制\激活基于服务PLMN的eMTC终端接入速率控制_77396889.md
UNC,WSFD-216002,eMTC业务功能,WSFD-216002 eMTC eDRX模式/WSFD-216002 eMTC eDRX模式（适用于MME）,激活eMTC eDRX模式（适用于MME）_77396103,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\eMTC业务功能\WSFD-216002 eMTC eDRX模式\WSFD-216002 eMTC eDRX模式（适用于MME）\激活eMTC eDRX模式（适用于MME）_77396103.md
UNC,WSFD-216002,eMTC业务功能,WSFD-216002 eMTC eDRX模式/WSFD-216002 eMTC eDRX模式（适用于SGW-C）,激活eMTC eDRX模式（适用于SGW-C）_78638572,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\eMTC业务功能\WSFD-216002 eMTC eDRX模式\WSFD-216002 eMTC eDRX模式（适用于SGW-C）\激活eMTC eDRX模式（适用于SGW-C）_78638572.md
UNC,WSFD-216101,eMTC业务功能,WSFD-216101 eMTC基于延迟定时器的信令拥塞控制/WSFD-216101 eMTC基于延迟定时器的信令拥塞控制（适用于MME）,激活eMTC基于延迟定时器的信令拥塞控制（适用于MME）_77897410,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\eMTC业务功能\WSFD-216101 eMTC基于延迟定时器的信令拥塞控制\WSFD-216101 eMTC基于延迟定时器的信令拥塞控制（适用于MME）\激活eMTC基于延迟定时器的信令拥塞控制（适用于MME）_77897410.md
UNC,WSFD-216101,eMTC业务功能,WSFD-216101 eMTC基于延迟定时器的信令拥塞控制/WSFD-216101 eMTC基于延迟定时器的信令拥塞控制（适用于PGW-C）,激活eMTC基于延迟定时器的信令拥塞控制（适用于PGW-C）_77897405,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\eMTC业务功能\WSFD-216101 eMTC基于延迟定时器的信令拥塞控制\WSFD-216101 eMTC基于延迟定时器的信令拥塞控制（适用于PGW-C）\激活eMTC基于延迟定时器的信令拥塞控制（适用于PGW-C）_77897405.md
