feature_id,product_type,file_path
GWFD-010291,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/5G NSA功能/GWFD-010291 5G NSA(Opt.3)组网_46563037.md
GWFD-020401,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020401 IPv6承载上下文_67107266.md
GWFD-020402,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020402 N6_Gi_SGi接口IPv6组网_64104669.md
GWFD-020403,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020403 IPv4v6双栈接入_67108868.md
GWFD-020404,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020404 IPv6在线计费_66587805.md
GWFD-020405,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020405 逻辑接口支持IPv6_53310346.md
GWFD-020406,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020406 IPv6 Prefix Delegation_79370033.md
GWFD-020352,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020352 IPv6 SA/GWFD-020352 IPv6 SA参考信息_80136515.md
GWFD-020352,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020352 IPv6 SA/GWFD-020352 IPv6 SA特性概述_80136511.md
GWFD-020352,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020352 IPv6 SA/实现原理_80136512.md
GWFD-020352,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020352 IPv6 SA/激活IPv6 SA_80136513.md
GWFD-020352,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020352 IPv6 SA/调测IPv6 SA_38277567.md
GWFD-020401,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020401 IPv6承载上下文/GWFD-020401 IPv6承载上下文参考信息_77077508.md
GWFD-020401,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020401 IPv6承载上下文/GWFD-020401 IPv6承载上下文特性概述_38276175.md
GWFD-020401,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020401 IPv6承载上下文/激活IPv6承载上下文_38276176.md
GWFD-020401,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020401 IPv6承载上下文/调测IPv6承载上下文_38276177.md
GWFD-020402,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020402 N6_Gi_SGi接口IPv6组网/GWFD-020402 N6_Gi_SGi接口IPv6组网参考信息_77077527.md
GWFD-020402,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020402 N6_Gi_SGi接口IPv6组网/GWFD-020402 N6_Gi_SGi接口IPv6组网特性概述_66623501.md
GWFD-020402,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020402 N6_Gi_SGi接口IPv6组网/激活N6_Gi_SGi接口IPv6组网_64500399.md
GWFD-020402,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020402 N6_Gi_SGi接口IPv6组网/调测N6_Gi_SGi接口IPv6组网_64500400.md
GWFD-020403,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020403 IPv4v6双栈接入/GWFD-020403 IPv4v6双栈接入参考信息_77078875.md
GWFD-020403,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020403 IPv4v6双栈接入/GWFD-020403 IPv4v6双栈接入特性概述_38276179.md
GWFD-020403,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020403 IPv4v6双栈接入/激活IPv4v6双栈接入_38276180.md
GWFD-020403,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020403 IPv4v6双栈接入/调测IPv4v6双栈接入_38276241.md
GWFD-020405,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020405 逻辑接口支持IPv6/GWFD-020405 逻辑接口支持IPv6特性概述_60989781.md
GWFD-020406,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020406 IPv6 Prefix Delegation/GWFD-020406 IPv6 Prefix Delegation参考信息_79370035.md
GWFD-020406,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020406 IPv6 Prefix Delegation/GWFD-020406 IPv6 Prefix Delegation特性概述_79370029.md
GWFD-020406,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020406 IPv6 Prefix Delegation/激活外部网元地址分配的IPv6 Prefix Delegation功能_80269177.md
GWFD-020406,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020406 IPv6 Prefix Delegation/调测IPv6 Prefix Delegation_79370030.md
GWFD-020406,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020406 IPv6 Prefix Delegation/实现原理/5GC业务流程_79707829.md
GWFD-020406,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020406 IPv6 Prefix Delegation/实现原理/EPC业务流程_79707828.md
GWFD-020406,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020406 IPv6 Prefix Delegation/实现原理/GPRS_UMTS业务流程_79707827.md
GWFD-020406,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020406 IPv6 Prefix Delegation/激活本地地址池分配的IPv6 Prefix Delegation功能/基于APN_DNN分配地址_80250128.md
GWFD-020406,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020406 IPv6 Prefix Delegation/激活本地地址池分配的IPv6 Prefix Delegation功能/基于SMF+APN_DNN分配地址_80250130.md
GWFD-020406,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020406 IPv6 Prefix Delegation/激活本地地址池分配的IPv6 Prefix Delegation功能/基于SMF分配地址_80250129.md
GWFD-020406,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IPv6功能/GWFD-020406 IPv6 Prefix Delegation/激活本地地址池分配的IPv6 Prefix Delegation功能/基于位置分配地址_52579205.md
IPFD-011000,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-011000 IP协议栈基本功能_61317248.md
IPFD-014007,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014007 L2_L3跟踪_50098730.md
IPFD-015003,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-015003 SNMP_73173087.md
IPFD-010000,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-010000 接口与链路/IPFD-010002 支持VLAN子接口_51054025.md
IPFD-010001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-010000 接口与链路/IPFD-010001 接口管理/IPFD-010001 接口管理特性概述_61317293.md
IPFD-010001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-010000 接口与链路/IPFD-010001 接口管理/实现原理/控制接口震荡特性_61317331.md
IPFD-010001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-010000 接口与链路/IPFD-010001 接口管理/实现原理/最大传输单元MTU_61317183.md
IPFD-010002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-010000 接口与链路/IPFD-010002 支持VLAN子接口/IPFD-010002 支持VLAN子接口特性概述_61317323.md
IPFD-010002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-010000 接口与链路/IPFD-010002 支持VLAN子接口/实现原理/VLAN帧格式_61317312.md
IPFD-011001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-011000 IP协议栈基本功能/IPFD-011001 ARP/IPFD-011001 ARP特性概述_61317279.md
IPFD-011001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-011000 IP协议栈基本功能/IPFD-011001 ARP/实现原理/ARP探测_73362660.md
IPFD-011001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-011000 IP协议栈基本功能/IPFD-011001 ARP/实现原理/ARP防欺骗_72883828.md
IPFD-011001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-011000 IP协议栈基本功能/IPFD-011001 ARP/实现原理/免费ARP_61317236.md
IPFD-011001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-011000 IP协议栈基本功能/IPFD-011001 ARP/实现原理/动态ARP_61317210.md
IPFD-011001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-011000 IP协议栈基本功能/IPFD-011001 ARP/实现原理/基本原理_61317276.md
IPFD-011001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-011000 IP协议栈基本功能/IPFD-011001 ARP/实现原理/报文格式_61317162.md
IPFD-011001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-011000 IP协议栈基本功能/IPFD-011001 ARP/实现原理/路由式ARP代理_15171229.md
IPFD-011001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-011000 IP协议栈基本功能/IPFD-011001 ARP/实现原理/静态ARP_61317360.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/IPFD-012001 QoS特性概述_61317223.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/实现原理/Diff-Serv模型_61317219.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/实现原理/流分类_24396057.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/实现原理/流分类/复杂流分类_24075717.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/实现原理/流分类/简单流分类_24276157.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/特性配置/复杂流分类配置（VNRS_VNFC）/创建VPN组（VNRS_VNFC）_13119482.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/特性配置/复杂流分类配置（VNRS_VNFC）/删除VPN组（VNRS_VNFC）_13119483.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/特性配置/复杂流分类配置（VNRS_VNFC）/去激活QoS复杂流分类功能（VNRS_VNFC）_13119481.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/特性配置/复杂流分类配置（VNRS_VNFC）/激活QoS复杂流分类功能（VNRS_VNFC）_13119479.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/特性配置/复杂流分类配置（VNRS_VNFC）/调测QoS复杂流分类功能（VNRS_VNFC）_13119480.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/特性配置/简单流分类配置（VNRS_VNFC）/去激活DSCP到VLAN优先级的映射（VNRS_VNFC）_13119477.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/特性配置/简单流分类配置（VNRS_VNFC）/去激活QoS简单流分类（VNRS_VNFC）_13119474.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/特性配置/简单流分类配置（VNRS_VNFC）/激活DSCP到VLAN优先级的映射（VNRS_VNFC）_13119475.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/特性配置/简单流分类配置（VNRS_VNFC）/激活QoS简单流分类特性（VNRS_VNFC）_13119472.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/特性配置/简单流分类配置（VNRS_VNFC）/调测DSCP到VLAN优先级的映射（VNRS_VNFC）_13119476.md
IPFD-012001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012001 QoS/特性配置/简单流分类配置（VNRS_VNFC）/调测QoS简单流分类（VNRS_VNFC）_13119473.md
IPFD-012002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012002 ACL/IPFD-012002 ACL特性概述_61317258.md
IPFD-012002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012002 ACL/实现原理/ACL分类_61317395.md
IPFD-012002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012002 ACL/实现原理/ACL规则匹配过程_61317303.md
IPFD-012002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012002 ACL/特性配置/去激活支持ACL6_06381765.md
IPFD-012002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012002 ACL/特性配置/去激活支持ACL_06381762.md
IPFD-012002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012002 ACL/特性配置/激活支持ACL6_06381763.md
IPFD-012002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012002 ACL/特性配置/激活支持ACL_06381760.md
IPFD-012002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012002 ACL/特性配置/调测ACL6_06381764.md
IPFD-012002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012002 ACL/特性配置/调测ACL_06381761.md
IPFD-012003,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012003 BFD/IPFD-012003 BFD特性概述_61317254.md
IPFD-012003,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012003 BFD/实现原理/BFD for BGP_61317155.md
IPFD-012003,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012003 BFD/实现原理/BFD for IP_61317305.md
IPFD-012003,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012003 BFD/实现原理/BFD for OSPF_61317308.md
IPFD-012003,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-012000 IP可靠性/IPFD-012003 BFD/实现原理/BFD for静态路由_61317349.md
IPFD-014000,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014003 静态路由_61317216.md
IPFD-014000,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014004 直连路由_61317200.md
IPFD-014000,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014005 路由策略_61317178.md
IPFD-014000,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014006 IP策略路由_61317295.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/IPFD-014001 支持OSPF特性概述_61317384.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2_61317243.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv3_61317343.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/BFD for OSPF_26154665.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF GR_26075013.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF IP FRR_61317347.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF LSA格式_61317304.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF NSR_61317351.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF NSSA_61317174.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF VPN_75555462.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF与BGP联动_75396146.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF共网段_26274649.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF协议实现原理_61317335.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF基础_61317362.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF快速收敛_61317160.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF报文格式_61317177.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF认证_61317182.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv2/OSPF路由控制_61317225.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv3/BFD for OSPFv3_75402910.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv3/OSFPv3报文格式_61317282.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv3/OSPFv3 GR_61317262.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv3/OSPFv3 IP FRR_61317191.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv3/OSPFv3 LSA格式_61317235.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv3/OSPFv3 VPN_61317173.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv3/OSPFv3与BGP联动_61317366.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv3/OSPFv3共网段_75881726.md
