id,feature_id,feature_name,product_type,product_version,is_directory,section,parent_feature_id,GGSN(2G&3G),S/PGW-U(4G),S/PGW-U(5G NSA),UPF(5G),NB-IoT
UDG:NPFD-010000,NPFD-010000,操作维护功能,UDG,20.15.2,true,网管特性,,目录,,,,
UDG:NPFD-010001,NPFD-010001,性能管理,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010002,NPFD-010002,软件管理,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010003,NPFD-010003,故障管理,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010004,NPFD-010004,设备管理,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010005,NPFD-010005,配置管理,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010006,NPFD-010006,安全管理,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010007,NPFD-010007,日志管理,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010008,NPFD-010008,联机帮助,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010009,NPFD-010009,软件补丁,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010010,NPFD-010010,在线加载,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010011,NPFD-010011,远程维护,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010013,NPFD-010013,跟踪功能,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010014,NPFD-010014,支持NTP功能,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010017,NPFD-010017,SSH功能,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:NPFD-010018,NPFD-010018,可靠性功能,UDG,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M
UDG:IPFD-010000,IPFD-010000,接口与链路,UDG,20.15.2,true,IP基本特性,,目录,,,,
UDG:IPFD-010001,IPFD-010001,接口管理,UDG,20.15.2,false,IP基本特性,IPFD-010000,M,M,M,M,M
UDG:IPFD-010002,IPFD-010002,支持VLAN子接口,UDG,20.15.2,false,IP基本特性,IPFD-010000,M,M,M,M,M
UDG:IPFD-011000,IPFD-011000,IP协议栈基本功能,UDG,20.15.2,true,IP基本特性,,目录,,,,
UDG:IPFD-011001,IPFD-011001,ARP,UDG,20.15.2,false,IP基本特性,IPFD-011000,M,M,M,M,M
UDG:IPFD-012000,IPFD-012000,IP可靠性,UDG,20.15.2,true,IP基本特性,,目录,,,,
UDG:IPFD-012001,IPFD-012001,QoS,UDG,20.15.2,false,IP基本特性,IPFD-012000,M,M,M,M,M
UDG:IPFD-012002,IPFD-012002,ACL,UDG,20.15.2,false,IP基本特性,IPFD-012000,M,M,M,M,M
UDG:IPFD-012003,IPFD-012003,BFD,UDG,20.15.2,false,IP基本特性,IPFD-012000,M,M,M,M,M
UDG:IPFD-014000,IPFD-014000,路由功能,UDG,20.15.2,true,IP基本特性,,目录,,,,
UDG:IPFD-014001,IPFD-014001,支持OSPF,UDG,20.15.2,false,IP基本特性,IPFD-014000,M,M,M,M,M
UDG:IPFD-014002,IPFD-014002,支持BGP,UDG,20.15.2,false,IP基本特性,IPFD-014000,M,M,M,M,M
UDG:IPFD-014003,IPFD-014003,静态路由,UDG,20.15.2,false,IP基本特性,IPFD-014000,M,M,M,M,M
UDG:IPFD-014004,IPFD-014004,直连路由,UDG,20.15.2,false,IP基本特性,IPFD-014000,M,M,M,M,M
UDG:IPFD-014005,IPFD-014005,路由策略,UDG,20.15.2,false,IP基本特性,IPFD-014000,M,M,M,M,M
UDG:IPFD-014006,IPFD-014006,IP策略路由,UDG,20.15.2,false,IP基本特性,IPFD-014000,M,M,M,M,M
UDG:IPFD-014007,IPFD-014007,L2/L3跟踪,UDG,20.15.2,false,IP基本特性,IPFD-014000,M,M,M,M,M
UDG:IPFD-015000,IPFD-015000,VPN 功能,UDG,20.15.2,true,IP基本特性,,目录,,,,
UDG:IPFD-015001,IPFD-015001,VRF功能,UDG,20.15.2,false,IP基本特性,IPFD-015000,M,M,M,M,M
UDG:IPFD-015002,IPFD-015002,GRE,UDG,20.15.2,false,IP基本特性,IPFD-015000,M,M,M,M,M
