id,source_feature_id,target_feature_id,dependency_type,description,license_control_item,source_type,conflict_pair_id
IPFD-010002:dep:IPFD-014000,IPFD-010002,IPFD-014000,depends_on,VLAN子接口转发报文依赖于路由表转发。VLAN内终端用户的缺省网关必须是对应VLAN子接口的IP地址。,,overview_explicit,
IPFD-012001:dep:IPFD-012002,IPFD-012001,IPFD-012002,interacts_with,ACL防火墙功能：当用户认为某类报文不可信时，可以通过QoS引用ACL将这类报文与其他报文区别出来并进行丢弃；同样的，当用户认为某类报文可信时，也可以通过QoS引用ACL将这类报文与其他报文区别出来并允许通过。,,overview_explicit,
IPFD-012002:dep:NPFD-010004,IPFD-012002,NPFD-010004,interacts_with,ACL本身只是一组规则的集合，它只是通过规则对报文进行了分类。因此ACL需要与具体业务特性配合使用，才能实现过滤报文的功能。,,overview_explicit,
IPFD-012002:dep:IPFD-014006,IPFD-012002,IPFD-014006,interacts_with,ACL本身只是一组规则的集合，它只是通过规则对报文进行了分类。因此ACL需要与具体业务特性配合使用，才能实现过滤报文的功能。,,overview_explicit,
IPFD-012002:dep:IPFD-014005,IPFD-012002,IPFD-014005,interacts_with,ACL本身只是一组规则的集合，它只是通过规则对报文进行了分类。因此ACL需要与具体业务特性配合使用，才能实现过滤报文的功能。,,overview_explicit,
IPFD-012003:dep:IPFD-014000,IPFD-012003,IPFD-014000,interacts_with,BFD for OSPF能够为OSPF邻居之间的链路提供快速检测功能，当邻居之间的链路出现故障时，加快OSPF协议的收敛速度。,,overview_explicit,
IPFD-014001:dep:IPFD-012003,IPFD-014001,IPFD-012003,interacts_with,BFD for OSPF能够为OSPF邻居之间的链路提供快速检测功能，当邻居之间的链路出现故障时，加快OSPF协议的收敛速度。,,overview_explicit,
IPFD-014001:dep:IPFD-014005,IPFD-014001,IPFD-014005,interacts_with,通过应用路由策略，控制OSPF发布、接收、引用的路由信息。,,overview_explicit,
IPFD-014002:dep:IPFD-012003,IPFD-014002,IPFD-012003,interacts_with,BFD for BGP能够为BGP邻居之间的链路提供快速检测功能，当邻居之间的链路出现故障时，加快BGP协议的收敛速度。,,overview_explicit,
IPFD-014002:dep:IPFD-014005,IPFD-014002,IPFD-014005,interacts_with,通过应用路由策略，控制BGP发布、接收、引用的路由信息。,,overview_explicit,
IPFD-015002:dep:IPFD-014000,IPFD-015002,IPFD-014000,interacts_with,在源端设备和目的端设备上都必须存在经过Tunnel转发的路由，这样需要进行GRE封装的报文才能正确转发。通过配置OSPF协议获得经过Tunnel接口的路由。,,overview_explicit,
WSFD-010005:dep:WSFD-227101,WSFD-010005,WSFD-227101,affects,在线升级期间负荷动态调整功能不生效。,81203636 LKV2HUSM01 灰度升级解决方案增值包基本功能-USM,overview_explicit,
WSFD-010108:dep:WSFD-207001,WSFD-010108,WSFD-207001,depends_on,依赖该特性实现MOCN（Multi-Operator Core Network）方式的网络共享。,“82206615 LKV2MOCN02 网络共享(MOCN)”,overview_explicit,
WSFD-010110:dep:WSFD-106003,WSFD-010110,WSFD-106003,affects,对于核心网RedCap也是一种NR接入类型，可以基于Rat Restriction特性对RedCap的接入类型进行限制。,-,overview_explicit,
WSFD-010702:dep:WSFD-010201,WSFD-010702,WSFD-010201,affects,移动性管理需要进行QoS协商。,-,overview_explicit,
