command_id,object_name,relation_type
UNC:MOD 5GCQOSACTION,5GCQOSACTION,modifies
UNC:RMV 5GCQOSACTION,5GCQOSACTION,deletes
UNC:ADD 5GCQOSACTION,5GCQOSACTION,creates
UNC:LST 5GCQOSACTION,5GCQOSACTION,operates_on
UNC:LST 5GCQOSCORRT,5GCQOSCORRT,operates_on
UNC:SET 5GCQOSCORRT,5GCQOSCORRT,sets
UNC:MOD 5GCREMARK,5GCREMARK,modifies
UNC:RMV 5GCREMARK,5GCREMARK,deletes
UNC:ADD 5GCREMARK,5GCREMARK,creates
UNC:LST 5GCREMARK,5GCREMARK,operates_on
UNC:MOD 5GCSUBQOS,5GCSUBQOS,modifies
UNC:RMV 5GCSUBQOS,5GCSUBQOS,deletes
UNC:ADD 5GCSUBQOS,5GCSUBQOS,creates
UNC:LST 5GCSUBQOS,5GCSUBQOS,operates_on
UDG:LST 5GGUMINFO,5GGUMINFO,operates_on
UDG:SET 5GGUMINFO,5GGUMINFO,sets
UNC:LST 5GGUMINFO,5GGUMINFO,operates_on
UNC:SET 5GGUMINFO,5GGUMINFO,sets
UNC:TST AAA,AAA,operates_on
UNC:RST AAADHCPPATHSTAT,AAADHCPPATHSTAT,operates_on
UDG:LST ABNTRADTTHR,ABNTRADTTHR,operates_on
UDG:SET ABNTRADTTHR,ABNTRADTTHR,sets
UDG:MOD ABNTRAFFICDT,ABNTRAFFICDT,modifies
UDG:RMV ABNTRAFFICDT,ABNTRAFFICDT,deletes
UDG:ADD ABNTRAFFICDT,ABNTRAFFICDT,creates
UDG:LST ABNTRAFFICDT,ABNTRAFFICDT,operates_on
UDG:MOD ABSTIMERANGE,ABSTIMERANGE,modifies
UDG:RMV ABSTIMERANGE,ABSTIMERANGE,deletes
UDG:ADD ABSTIMERANGE,ABSTIMERANGE,creates
UDG:LST ABSTIMERANGE,ABSTIMERANGE,operates_on
UDG:DSP ACC,ACC,operates_on
UNC:DSP ACC,ACC,operates_on
UNC:LST ACCESSLISTFUNC,ACCESSLISTFUNC,operates_on
UNC:SET ACCESSLISTFUNC,ACCESSLISTFUNC,sets
UNC:RMV ACCESSLISTIP,ACCESSLISTIP,deletes
UNC:ADD ACCESSLISTIP,ACCESSLISTIP,creates
UNC:LST ACCESSLISTIP,ACCESSLISTIP,operates_on
UDG:MOD ACL,ACL,modifies
UDG:RMV ACL,ACL,deletes
UDG:ADD ACL,ACL,creates
UDG:LST ACL,ACL,operates_on
UDG:DSP ACL6ADVRULECNTVERBOSE,ACL6ADVRULECNTVERBOSE,operates_on
UNC:DSP ACL6ADVRULECNTVERBOSE,ACL6ADVRULECNTVERBOSE,operates_on
UDG:DSP ACL6BASICRULECNTVERBOSE,ACL6BASICRULECNTVERBOSE,operates_on
UNC:DSP ACL6BASICRULECNTVERBOSE,ACL6BASICRULECNTVERBOSE,operates_on
UDG:DSP ACLADV6RULECNT,ACLADV6RULECNT,operates_on
UNC:DSP ACLADV6RULECNT,ACLADV6RULECNT,operates_on
UDG:DSP ACLADVRULECNT,ACLADVRULECNT,operates_on
UNC:DSP ACLADVRULECNT,ACLADVRULECNT,operates_on
UDG:DSP ACLADVRULECNTVERBOSE,ACLADVRULECNTVERBOSE,operates_on
UNC:DSP ACLADVRULECNTVERBOSE,ACLADVRULECNTVERBOSE,operates_on
UDG:DSP ACLBASIC6RULECNT,ACLBASIC6RULECNT,operates_on
UNC:DSP ACLBASIC6RULECNT,ACLBASIC6RULECNT,operates_on
UDG:DSP ACLBASICRULECNT,ACLBASICRULECNT,operates_on
UNC:DSP ACLBASICRULECNT,ACLBASICRULECNT,operates_on
UDG:DSP ACLBASICRULECNTVERBOSE,ACLBASICRULECNTVERBOSE,operates_on
UNC:DSP ACLBASICRULECNTVERBOSE,ACLBASICRULECNTVERBOSE,operates_on
UDG:MOD ACLBINDAPN,ACLBINDAPN,modifies
UDG:RMV ACLBINDAPN,ACLBINDAPN,deletes
UDG:ADD ACLBINDAPN,ACLBINDAPN,creates
UDG:LST ACLBINDAPN,ACLBINDAPN,operates_on
UDG:MOD ACLDEFAULT,ACLDEFAULT,modifies
UDG:RMV ACLDEFAULT,ACLDEFAULT,deletes
UDG:ADD ACLDEFAULT,ACLDEFAULT,creates
UDG:LST ACLDEFAULT,ACLDEFAULT,operates_on
UDG:DSP ACLETHRULECNT,ACLETHRULECNT,operates_on
UNC:DSP ACLETHRULECNT,ACLETHRULECNT,operates_on
UDG:DSP ACLETHRULECNTVERBOSE,ACLETHRULECNTVERBOSE,operates_on
UNC:DSP ACLETHRULECNTVERBOSE,ACLETHRULECNTVERBOSE,operates_on
UDG:RTR ACLGROUP,ACLGROUP,operates_on
UDG:MOD ACLGROUP,ACLGROUP,modifies
UDG:RMV ACLGROUP,ACLGROUP,deletes
UDG:ADD ACLGROUP,ACLGROUP,creates
UDG:LST ACLGROUP,ACLGROUP,operates_on
UNC:RTR ACLGROUP,ACLGROUP,operates_on
UNC:MOD ACLGROUP,ACLGROUP,modifies
UNC:RMV ACLGROUP,ACLGROUP,deletes
UNC:ADD ACLGROUP,ACLGROUP,creates
UNC:LST ACLGROUP,ACLGROUP,operates_on
UDG:RTR ACLGROUP6,ACLGROUP6,operates_on
UDG:MOD ACLGROUP6,ACLGROUP6,modifies
UDG:RMV ACLGROUP6,ACLGROUP6,deletes
UDG:ADD ACLGROUP6,ACLGROUP6,creates
UDG:LST ACLGROUP6,ACLGROUP6,operates_on
UNC:RTR ACLGROUP6,ACLGROUP6,operates_on
UNC:MOD ACLGROUP6,ACLGROUP6,modifies
UNC:RMV ACLGROUP6,ACLGROUP6,deletes
UNC:ADD ACLGROUP6,ACLGROUP6,creates
UNC:LST ACLGROUP6,ACLGROUP6,operates_on
UDG:MOD ACLGROUP6IPSEC,ACLGROUP6IPSEC,modifies
UDG:RMV ACLGROUP6IPSEC,ACLGROUP6IPSEC,deletes
UDG:ADD ACLGROUP6IPSEC,ACLGROUP6IPSEC,creates
UDG:LST ACLGROUP6IPSEC,ACLGROUP6IPSEC,operates_on
UNC:MOD ACLGROUP6IPSEC,ACLGROUP6IPSEC,modifies
