object_id,object_name,object_kind,identifier_parameters_json,attributes_count,attributes_json,applicable_nf_json,applicable_products_json,category_path_json,description,commands_count
5GCQOSACTION,5GCQOSACTION,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""会话管理"", ""接入管理"", ""QoS"", ""5GC QoS配置"", ""5GC QoS控制动作""]",,4
5GCQOSCORRT,5GCQOSCORRT,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""会话管理"", ""接入管理"", ""QoS"", ""5GC QoS配置"", ""全局5GC QoS纠错""]",,2
5GCREMARK,5GCREMARK,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""会话管理"", ""接入管理"", ""QoS"", ""5GC QoS配置"", ""5GC Qos映射ToS_DSCP""]",,4
5GCSUBQOS,5GCSUBQOS,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""会话管理"", ""接入管理"", ""QoS"", ""5GC QoS配置"", ""本地5GC QoS""]",,4
5GGUMINFO,5GGUMINFO,entity,[],0,[],[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""编排管理"", ""灰度升级管理"", ""灰度升级批次""]",,4
AAA,AAA,entity,"[""SERVERTYPE"", ""IPVERSION""]",12,"[{""parameter_name"": ""SERVERTYPE"", ""data_type"": ""enum"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""VPNINSTANCE"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""USERNAME"", ""data_type"": ""string"", ""required_mode"": ""conditional_optional"", ""default_value"": ""AAAtester"", ""condition"": ""该参数在“SERVERTYPE”配置为“ACCOUNTING” 或 “AUTHENTICATION”时为可选参数。""}, {""parameter_name"": ""PASSWORD"", ""data_type"": """", ""required_mode"": ""conditional_optional"", ""default_value"": ""AAAtester"", ""condition"": ""该参数在“SERVERTYPE”配置为“AUTHENTICATION”时为可选参数。""}, {""parameter_name"": ""PWDCONFM"", ""data_type"": """", ""required_mode"": ""conditional_optional"", ""default_value"": ""AAAtester"", ""condition"": ""该参数在“SERVERTYPE”配置为“AUTHENTICATION”时为可选参数。""}, {""parameter_name"": ""IPVERSION"", ""data_type"": ""enum"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""IPADDRESS"", ""data_type"": ""ip_address"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“IPVERSION”配置为“IPV4”时为必选参数。""}, {""parameter_name"": ""IPV6ADDRESS"", ""data_type"": ""ip_address"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“IPVERSION”配置为“IPV6”时为必选参数。""}, {""parameter_name"": ""PORT"", ""data_type"": ""integer"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""IMSI"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""MSISDN"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""IMEI"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}]","[""PGW-C"", ""SMF""]","[""UNC""]","[""业务服务管理"", ""会话管理"", ""RADIUS管理"", ""RADIUS维护"", ""服务器检测""]",该命令用于向AAA服务器发送探测消息，根据回显来推断UNC和AAA服务器之间的连接是否正常。,1
AAADHCPPATHSTAT,AAADHCPPATHSTAT,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""会话管理"", ""接入管理"", ""接入管理运维"", ""重置RADIUS或DHCP链路状态""]",,1
ABNTRADTTHR,ABNTRADTTHR,entity,[],0,[],"[""PGW-U"", ""SGW-U"", ""UPF""]","[""UDG""]","[""用户面服务管理"", ""业务防欺诈"", ""异常下行流量检测阈值""]",该命令用于查询异常流量检测报文阈值。,2
ABNTRAFFICDT,ABNTRAFFICDT,entity,"[""APN"", ""SWITCH""]",3,"[{""parameter_name"": ""APN"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""SWITCH"", ""data_type"": ""enum"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""TRAFFICBEHAVIORSWITCH"", ""data_type"": ""enum"", ""required_mode"": ""conditional_optional"", ""default_value"": ""DISABLE"", ""condition"": ""该参数在“SWITCH”配置为“ENABLE”时为可选参数。""}]","[""PGW-U"", ""SGW-U"", ""UPF""]","[""UDG""]","[""用户面服务管理"", ""业务防欺诈"", ""APN下终端异常下行流量检测开关""]",该命令用来使能APN下终端异常下行流量检测功能。,4
ABSTIMERANGE,ABSTIMERANGE,entity,"[""TIMERANGENAME"", ""ABSTIMERANGESEQ""]",7,"[{""parameter_name"": ""TIMERANGENAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ABSTIMERANGESEQ"", ""data_type"": ""integer"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""STARTTIME"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""STARTDATE"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ENDTIME"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ENDDATE"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""CFGDOMAINNAME"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}]","[""PGW-U"", ""SGW-U"", ""UPF""]","[""UDG""]","[""用户面服务管理"", ""业务匹配策略"", ""业务过滤器管理"", ""时间规则管理"", ""绝对时间段""]",该命令用于配置绝对时间段信息，从设定的起始年月日时分到终止年月日时分之间的时间段，该时间段无法循环出现，也没有周期。设置绝对时间段的目的是保证系统的业务在该绝对时间段范围内生效。,4
