source_command_id,source_param,target_command_id,target_param,condition_value,condition_expression,dep_type
UDG:DSP NATSESSION,QUERYTYPE,UDG:DSP NATSESSION,MSISDN,MSISDN,该参数在“QUERYTYPE”配置为“MSISDN”时为必选参数。,intra_command
UDG:DSP NATSESSION,QUERYTYPE,UDG:DSP NATSESSION,IMSI,IMSI,该参数在“QUERYTYPE”配置为“IMSI”时为必选参数。,intra_command
UDG:DSP NATSESSION,QUERYTYPE,UDG:DSP NATSESSION,VPNNAME,IPV4,该参数在“QUERYTYPE”配置为“IPV4” 或 “IPV6”时为必选参数。,intra_command
UDG:DSP NATSESSION,QUERYTYPE,UDG:DSP NATSESSION,IPV4,IPV4,该参数在“QUERYTYPE”配置为“IPV4”时为必选参数。,intra_command
UDG:DSP NATSESSION,QUERYTYPE,UDG:DSP NATSESSION,IPV6,IPV6,该参数在“QUERYTYPE”配置为“IPV6”时为必选参数。,intra_command
UDG:DSP NATSTATICMAPPING,QUERYTYPE,UDG:DSP NATSTATICMAPPING,INSIDEIPV4,INSIDEIPV4,该参数在“QUERYTYPE”配置为“INSIDEIPV4”时为必选参数。,intra_command
UDG:DSP NATSTATICMAPPING,QUERYTYPE,UDG:DSP NATSTATICMAPPING,PORT,GLOBALIPV4,该参数在“QUERYTYPE”配置为“GLOBALIPV4”时为必选参数。,intra_command
UDG:EXP LOG,SWITCH,UDG:EXP LOG,IPVERSION,ENABLE,该参数在“SWITCH”配置为“ENABLE”时为必选参数。,intra_command
UDG:EXP LOG,SWITCH,UDG:EXP LOG,IPV4,ENABLE,该参数在“SWITCH”配置为“ENABLE”时为可选参数。,intra_command
UDG:EXP LOG,SWITCH,UDG:EXP LOG,IPV6,ENABLE,该参数在“SWITCH”配置为“ENABLE”时为可选参数。,intra_command
UDG:EXP LOG,SWITCH,UDG:EXP LOG,PORT,ENABLE,该参数在“SWITCH”配置为“ENABLE”时为必选参数。,intra_command
UDG:EXP LOG,SWITCH,UDG:EXP LOG,USER,ENABLE,该参数在“SWITCH”配置为“ENABLE”时为必选参数。,intra_command
UDG:EXP LOG,SWITCH,UDG:EXP LOG,PASSWORD,ENABLE,该参数在“SWITCH”配置为“ENABLE”时为必选参数。,intra_command
UDG:EXP LOG,SWITCH,UDG:EXP LOG,REMOTEPATH,ENABLE,该参数在“SWITCH”配置为“ENABLE”时为必选参数。,intra_command
UDG:SET DNSINFO,SELECT,UDG:SET DNSINFO,CONFIGURATION,CONFIGURATION,该参数在“SELECT”配置为“CONFIGURATION” 或 “ALL”时为必选参数。,intra_command
UDG:SET DNSINFO,SELECT,UDG:SET DNSINFO,USERNAME,AUTHINFO,该参数在“SELECT”配置为“AUTHINFO” 或 “ALL”时为必选参数。,intra_command
UDG:SET DNSINFO,SELECT,UDG:SET DNSINFO,PASSWORD,AUTHINFO,该参数在“SELECT”配置为“AUTHINFO” 或 “ALL”时为必选参数。,intra_command
UDG:EXC DNSCFGTASK,TASKACT,UDG:EXC DNSCFGTASK,TASKID,INIT,该参数在“TASKACT”配置为“INIT”、“DEPLOY” 或 “CLEAR”时为必选参数。,intra_command
UDG:EXC DNSCFGTASK,TASKACT,UDG:EXC DNSCFGTASK,SERVERNAME,DEPLOY,该参数在“TASKACT”配置为“DEPLOY”时为必选参数。,intra_command
UDG:SET DNSIPRESOURCE,IPVERSION,UDG:SET DNSIPRESOURCE,IPV4ADDRS,IPV4,该参数在“IPVERSION”配置为“IPV4” 或 “IPV4_IPV6”时为必选参数。,intra_command
UDG:SET DNSIPRESOURCE,IPVERSION,UDG:SET DNSIPRESOURCE,IPV6ADDRS,IPV6,该参数在“IPVERSION”配置为“IPV6” 或 “IPV4_IPV6”时为必选参数。,intra_command
UDG:MOD RESREC,TYPE,UDG:MOD RESREC,VIEWNAME,A,该参数在“TYPE”配置为“A”、“AAAA”、“NS”、“SRV” 或 “NAPTR”时为可选参数。,intra_command
