group_id,object_name,command_name,operation_verb,crud_role,command_title_zh,service_category,service_domain,config_object_area
d366e2106d,5GGUMINFO,LST 5GGUMINFO,LST,read,查询灰度升级所处于的阶段,平台服务管理,编排管理,灰度升级管理
94960365ca,5GGUMINFO,SET 5GGUMINFO,SET,update,设置灰度升级所处于的阶段,平台服务管理,编排管理,灰度升级管理
66d8476b9b,ABNTRADTTHR,LST ABNTRADTTHR,LST,read,查询异常流量检测报文阈值,用户面服务管理,业务防欺诈,异常下行流量检测阈值
07b4b45661,ABNTRADTTHR,SET ABNTRADTTHR,SET,update,设置异常流量检测报文阈值,用户面服务管理,业务防欺诈,异常下行流量检测阈值
c8b844b76b,ABNTRAFFICDT,MOD ABNTRAFFICDT,MOD,update,修改异常流量检测开关,用户面服务管理,业务防欺诈,APN下终端异常下行流量检测开关
dc136c28c6,ABNTRAFFICDT,RMV ABNTRAFFICDT,RMV,delete,删除异常流量检测开关,用户面服务管理,业务防欺诈,APN下终端异常下行流量检测开关
578ee8e8d8,ABNTRAFFICDT,ADD ABNTRAFFICDT,ADD,create,新增异常流量检测开关,用户面服务管理,业务防欺诈,APN下终端异常下行流量检测开关
0196e54947,ABNTRAFFICDT,LST ABNTRAFFICDT,LST,read,查询异常流量功能开关,用户面服务管理,业务防欺诈,APN下终端异常下行流量检测开关
6a4f82c429,ABSTIMERANGE,MOD ABSTIMERANGE,MOD,update,修改绝对时间段,用户面服务管理,业务匹配策略,业务过滤器管理
74351c0c8f,ABSTIMERANGE,RMV ABSTIMERANGE,RMV,delete,删除绝对时间段,用户面服务管理,业务匹配策略,业务过滤器管理
49cbb3ecb0,ABSTIMERANGE,ADD ABSTIMERANGE,ADD,create,增加绝对时间段,用户面服务管理,业务匹配策略,业务过滤器管理
8b0f443422,ABSTIMERANGE,LST ABSTIMERANGE,LST,read,查询绝对时间段,用户面服务管理,业务匹配策略,业务过滤器管理
c0fee4b2c8,ACC,DSP ACC,DSP,read,显示加速器信息,平台服务管理,单体服务公共功能管理,系统管理
c40a022138,ACL,MOD ACL,MOD,update,修改ACL,用户面服务管理,业务安全防护,用户ACL管理
1ebe57a30a,ACL,RMV ACL,RMV,delete,删除ACL,用户面服务管理,业务安全防护,用户ACL管理
671daf37c9,ACL,ADD ACL,ADD,create,增加ACL,用户面服务管理,业务安全防护,用户ACL管理
002c2034fd,ACL,LST ACL,LST,read,查询ACL,用户面服务管理,业务安全防护,用户ACL管理
4db1bd2e8c,ACL6ADVRULECNTVERBOSE,DSP ACL6ADVRULECNTVERBOSE,DSP,read,查询高级ACL6规则匹配详细计数,平台服务管理,VNRS功能管理,操作维护
db1399f3ac,ACL6BASICRULECNTVERBOSE,DSP ACL6BASICRULECNTVERBOSE,DSP,read,查询基本ACL6规则匹配详细计数,平台服务管理,VNRS功能管理,操作维护
a7a7a3a3f7,ACLADV6RULECNT,DSP ACLADV6RULECNT,DSP,read,显示高级IPv6 ACL规则匹配计数,平台服务管理,VNRS功能管理,IP服务
12a369f02e,ACLADVRULECNT,DSP ACLADVRULECNT,DSP,read,显示高级ACL规则匹配计数,平台服务管理,VNRS功能管理,IP服务
8ec51558bc,ACLADVRULECNTVERBOSE,DSP ACLADVRULECNTVERBOSE,DSP,read,查询高级ACL规则匹配详细计数,平台服务管理,VNRS功能管理,操作维护
56f250ef47,ACLBASIC6RULECNT,DSP ACLBASIC6RULECNT,DSP,read,显示基本IPv6 ACL规则匹配计数,平台服务管理,VNRS功能管理,IP服务
7de1ca7e99,ACLBASICRULECNT,DSP ACLBASICRULECNT,DSP,read,显示基本ACL规则匹配计数,平台服务管理,VNRS功能管理,IP服务
805a40e109,ACLBASICRULECNTVERBOSE,DSP ACLBASICRULECNTVERBOSE,DSP,read,查询基本ACL规则匹配详细计数,平台服务管理,VNRS功能管理,操作维护
35fef11ca5,ACLBINDAPN,MOD ACLBINDAPN,MOD,update,修改Acl绑定关系,用户面服务管理,业务安全防护,用户ACL管理
e7bac1b929,ACLBINDAPN,RMV ACLBINDAPN,RMV,delete,删除Acl绑定关系,用户面服务管理,业务安全防护,用户ACL管理
7833fc71ac,ACLBINDAPN,ADD ACLBINDAPN,ADD,create,增加Acl绑定关系,用户面服务管理,业务安全防护,用户ACL管理
332d665c30,ACLBINDAPN,LST ACLBINDAPN,LST,read,查询Acl绑定关系,用户面服务管理,业务安全防护,用户ACL管理
951a3202d7,ACLDEFAULT,MOD ACLDEFAULT,MOD,update,修改缺省Acl绑定,用户面服务管理,业务安全防护,用户ACL管理
20a94235d8,ACLDEFAULT,RMV ACLDEFAULT,RMV,delete,删除缺省Acl绑定,用户面服务管理,业务安全防护,用户ACL管理
181ab2b10b,ACLDEFAULT,ADD ACLDEFAULT,ADD,create,增加缺省Acl绑定,用户面服务管理,业务安全防护,用户ACL管理
df2624c913,ACLDEFAULT,LST ACLDEFAULT,LST,read,查询缺省Acl绑定,用户面服务管理,业务安全防护,用户ACL管理
bb242c9a2f,ACLETHRULECNT,DSP ACLETHRULECNT,DSP,read,显示以太ACL规则匹配计数,平台服务管理,VNRS功能管理,IP服务
93b2fe88e9,ACLETHRULECNTVERBOSE,DSP ACLETHRULECNTVERBOSE,DSP,read,查询以太ACL规则匹配详细计数,平台服务管理,VNRS功能管理,操作维护
6b45cd0501,ACLGROUP,RTR ACLGROUP,RTR,read,清除ACL规则匹配计数,平台服务管理,VNRS功能管理,IP服务
308f43763f,ACLGROUP,MOD ACLGROUP,MOD,update,修改ACL规则组,平台服务管理,VNRS功能管理,IP服务
c45df42399,ACLGROUP,RMV ACLGROUP,RMV,delete,删除ACL规则组,平台服务管理,VNRS功能管理,IP服务
b20a5bd003,ACLGROUP,ADD ACLGROUP,ADD,create,增加ACL规则组,平台服务管理,VNRS功能管理,IP服务
fcf261de27,ACLGROUP,LST ACLGROUP,LST,read,查询ACL规则组配置,平台服务管理,VNRS功能管理,IP服务
171a05081c,ACLGROUP6,RTR ACLGROUP6,RTR,read,清除IPv6 ACL规则匹配计数,平台服务管理,VNRS功能管理,IP服务
255dcb55f7,ACLGROUP6,MOD ACLGROUP6,MOD,update,修改IPv6 ACL规则组,平台服务管理,VNRS功能管理,IP服务
d20f97cf96,ACLGROUP6,RMV ACLGROUP6,RMV,delete,删除IPv6 ACL规则组,平台服务管理,VNRS功能管理,IP服务
83fb792725,ACLGROUP6,ADD ACLGROUP6,ADD,create,增加IPv6 ACL规则组,平台服务管理,VNRS功能管理,IP服务
df985233b2,ACLGROUP6,LST ACLGROUP6,LST,read,查询IPv6 ACL规则组配置,平台服务管理,VNRS功能管理,IP服务
060ac90ca3,ACLGROUP6IPSEC,MOD ACLGROUP6IPSEC,MOD,update,修改IPv6 ACL规则组,平台服务管理,IPSEC功能管理,IP服务
e018065551,ACLGROUP6IPSEC,RMV ACLGROUP6IPSEC,RMV,delete,删除IPv6 ACL规则组,平台服务管理,IPSEC功能管理,IP服务
139d8d5aa4,ACLGROUP6IPSEC,ADD ACLGROUP6IPSEC,ADD,create,增加IPv6 ACL规则组,平台服务管理,IPSEC功能管理,IP服务
e87edd7d87,ACLGROUP6IPSEC,LST ACLGROUP6IPSEC,LST,read,查询IPv6 ACL规则组配置,平台服务管理,IPSEC功能管理,IP服务
1b1af13551,ACLGROUPIPSEC,MOD ACLGROUPIPSEC,MOD,update,修改ACL规则组,平台服务管理,IPSEC功能管理,IP服务
c271925ede,ACLGROUPIPSEC,RMV ACLGROUPIPSEC,RMV,delete,删除ACL规则组,平台服务管理,IPSEC功能管理,IP服务
e229c90724,ACLGROUPIPSEC,ADD ACLGROUPIPSEC,ADD,create,增加ACL规则组,平台服务管理,IPSEC功能管理,IP服务
d422190c2c,ACLGROUPIPSEC,LST ACLGROUPIPSEC,LST,read,查询ACL规则组配置,平台服务管理,IPSEC功能管理,IP服务
f9f564b4a9,ACLIFRULECNT,DSP ACLIFRULECNT,DSP,read,显示接口ACL规则匹配计数,平台服务管理,VNRS功能管理,IP服务
458386cde3,ACLIFRULECNTVERBOSE,DSP ACLIFRULECNTVERBOSE,DSP,read,查询接口ACL规则匹配详细计数,平台服务管理,VNRS功能管理,操作维护
b33965daf2,ACLNODE,MOD ACLNODE,MOD,update,修改ACL节点,用户面服务管理,业务安全防护,用户ACL管理
ce3b0d75f2,ACLNODE,RMV ACLNODE,RMV,delete,删除ACL节点,用户面服务管理,业务安全防护,用户ACL管理
0ba75d0e46,ACLNODE,ADD ACLNODE,ADD,create,增加ACL节点,用户面服务管理,业务安全防护,用户ACL管理
a0d71e544f,ACLNODE,LST ACLNODE,LST,read,查询ACL节点,用户面服务管理,业务安全防护,用户ACL管理
ec5e97dd1c,ACLNODEBINDACL,MOD ACLNODEBINDACL,MOD,update,修改Acl节点绑定关系,用户面服务管理,业务安全防护,用户ACL管理
be5f9300d2,ACLNODEBINDACL,RMV ACLNODEBINDACL,RMV,delete,删除Acl节点绑定关系,用户面服务管理,业务安全防护,用户ACL管理
0560a26c53,ACLNODEBINDACL,ADD ACLNODEBINDACL,ADD,create,增加Acl节点绑定关系,用户面服务管理,业务安全防护,用户ACL管理
ca7e6969b7,ACLNODEBINDACL,LST ACLNODEBINDACL,LST,read,查询Acl节点绑定关系,用户面服务管理,业务安全防护,用户ACL管理
c1fdd45912,ACLRULEADV4,MOD ACLRULEADV4,MOD,update,修改高级ACL规则,平台服务管理,VNRS功能管理,IP服务
b10b2cd90e,ACLRULEADV4,RMV ACLRULEADV4,RMV,delete,删除高级ACL规则,平台服务管理,VNRS功能管理,IP服务
e5ded18740,ACLRULEADV4,ADD ACLRULEADV4,ADD,create,增加高级ACL规则,平台服务管理,VNRS功能管理,IP服务
cacfcbc24c,ACLRULEADV4,DSP ACLRULEADV4,DSP,read,显示高级ACL规则,平台服务管理,VNRS功能管理,IP服务
5b6a2521ef,ACLRULEADV4,LST ACLRULEADV4,LST,read,查询高级ACL规则配置,平台服务管理,VNRS功能管理,IP服务
e1cd8d80bb,ACLRULEADV4IPSEC,MOD ACLRULEADV4IPSEC,MOD,update,修改高级ACL规则,平台服务管理,IPSEC功能管理,IP服务
e7e1e9ca5d,ACLRULEADV4IPSEC,RMV ACLRULEADV4IPSEC,RMV,delete,删除高级ACL规则,平台服务管理,IPSEC功能管理,IP服务
9a6a2dddb4,ACLRULEADV4IPSEC,ADD ACLRULEADV4IPSEC,ADD,create,增加高级ACL规则,平台服务管理,IPSEC功能管理,IP服务
931ab0b020,ACLRULEADV4IPSEC,LST ACLRULEADV4IPSEC,LST,read,查询高级ACL规则配置,平台服务管理,IPSEC功能管理,IP服务
0392f3e563,ACLRULEADV6,MOD ACLRULEADV6,MOD,update,修改高级IPv6 ACL规则,平台服务管理,VNRS功能管理,IP服务
ed801dd712,ACLRULEADV6,RMV ACLRULEADV6,RMV,delete,删除高级IPv6 ACL规则,平台服务管理,VNRS功能管理,IP服务
7967a91944,ACLRULEADV6,ADD ACLRULEADV6,ADD,create,增加高级IPv6 ACL规则,平台服务管理,VNRS功能管理,IP服务
866286f411,ACLRULEADV6,DSP ACLRULEADV6,DSP,read,显示高级IPv6 ACL规则,平台服务管理,VNRS功能管理,IP服务
0aa8240612,ACLRULEADV6,LST ACLRULEADV6,LST,read,查询高级IPv6 ACL规则配置,平台服务管理,VNRS功能管理,IP服务
7ba8dee07a,ACLRULEADV6IPSEC,MOD ACLRULEADV6IPSEC,MOD,update,修改高级IPv6 ACL规则,平台服务管理,IPSEC功能管理,IP服务
33221bc6b3,ACLRULEADV6IPSEC,RMV ACLRULEADV6IPSEC,RMV,delete,删除高级IPv6 ACL规则,平台服务管理,IPSEC功能管理,IP服务
ebf9eac585,ACLRULEADV6IPSEC,ADD ACLRULEADV6IPSEC,ADD,create,增加高级IPv6 ACL规则,平台服务管理,IPSEC功能管理,IP服务
7c0e0d33c5,ACLRULEADV6IPSEC,LST ACLRULEADV6IPSEC,LST,read,查询高级IPv6 ACL规则配置,平台服务管理,IPSEC功能管理,IP服务
635543d5ac,ACLRULEBAS4,MOD ACLRULEBAS4,MOD,update,修改基本ACL规则,平台服务管理,VNRS功能管理,IP服务
63840d4e98,ACLRULEBAS4,RMV ACLRULEBAS4,RMV,delete,删除基本ACL规则,平台服务管理,VNRS功能管理,IP服务
