file_path,file_name,ne_type,service_category,service_domain,config_object_area,specific_operation,classification_path,command_title_zh,command_name,operation_verb,command_object_name,doc_id,is_special_file,dir_depth
D:\mywork\KnowledgeBase\SFCGraph\output\UDG_Product_Documentation_CH_20.15.2\OM参考\命令\UDG MML命令\CoreMind操作维护命令\DFS信息维护\查询DFS桶信息（DSP DFSBUCKET）_83902420.md,查询DFS桶信息（DSP DFSBUCKET）_83902420.md,UDG,CoreMind操作维护命令,DFS信息维护,,,CoreMind操作维护命令 / DFS信息维护,查询DFS桶信息,DSP DFSBUCKET,DSP,DFSBUCKET,83902420,no,2
D:\mywork\KnowledgeBase\SFCGraph\output\UDG_Product_Documentation_CH_20.15.2\OM参考\命令\UDG MML命令\CoreMind操作维护命令\DFS信息维护\查询DFS集群信息（DSP DFSINFO）_30144141.md,查询DFS集群信息（DSP DFSINFO）_30144141.md,UDG,CoreMind操作维护命令,DFS信息维护,,,CoreMind操作维护命令 / DFS信息维护,查询DFS集群信息,DSP DFSINFO,DSP,DFSINFO,30144141,no,2
D:\mywork\KnowledgeBase\SFCGraph\output\UDG_Product_Documentation_CH_20.15.2\OM参考\命令\UDG MML命令\MML命令申明_79861195.md,MML命令申明_79861195.md,UDG,,,,,,MML命令申明,,,,79861195,no,0
D:\mywork\KnowledgeBase\SFCGraph\output\UDG_Product_Documentation_CH_20.15.2\OM参考\命令\UDG MML命令\NAT服务管理\NAT服务管理\NAT用户会话信息\查询NAT用户会话信息（DSP NATSESSION）_06523902.md,查询NAT用户会话信息（DSP NATSESSION）_06523902.md,UDG,NAT服务管理,NAT服务管理,NAT用户会话信息,,NAT服务管理 / NAT服务管理 / NAT用户会话信息,查询NAT用户会话信息,DSP NATSESSION,DSP,NATSESSION,06523902,no,3
D:\mywork\KnowledgeBase\SFCGraph\output\UDG_Product_Documentation_CH_20.15.2\OM参考\命令\UDG MML命令\NAT服务管理\NAT服务管理\NAT静态地址映射\查询NAT静态地址映射关系（DSP NATSTATICMAPPING）_05939508.md,查询NAT静态地址映射关系（DSP NATSTATICMAPPING）_05939508.md,UDG,NAT服务管理,NAT服务管理,NAT静态地址映射,,NAT服务管理 / NAT服务管理 / NAT静态地址映射,查询NAT静态地址映射关系,DSP NATSTATICMAPPING,DSP,NATSTATICMAPPING,05939508,no,3
D:\mywork\KnowledgeBase\SFCGraph\output\UDG_Product_Documentation_CH_20.15.2\OM参考\命令\UDG MML命令\SAPO服务管理\SAPO训练参数\查询基于SA的Intelligence训练参数（LST SAAITRAINPARA）_69640518.md,查询基于SA的Intelligence训练参数（LST SAAITRAINPARA）_69640518.md,UDG,SAPO服务管理,SAPO训练参数,,,SAPO服务管理 / SAPO训练参数,查询基于SA的Intelligence训练参数,LST SAAITRAINPARA,LST,SAAITRAINPARA,69640518,no,2
D:\mywork\KnowledgeBase\SFCGraph\output\UDG_Product_Documentation_CH_20.15.2\OM参考\命令\UDG MML命令\SAPO服务管理\SAPO训练参数\配置基于SA的Intelligence训练参数（SET SAAITRAINPARA）_55639713.md,配置基于SA的Intelligence训练参数（SET SAAITRAINPARA）_55639713.md,UDG,SAPO服务管理,SAPO训练参数,,,SAPO服务管理 / SAPO训练参数,配置基于SA的Intelligence训练参数,SET SAAITRAINPARA,SET,SAAITRAINPARA,55639713,no,2
D:\mywork\KnowledgeBase\SFCGraph\output\UDG_Product_Documentation_CH_20.15.2\OM参考\命令\UDG MML命令\SFIP管理\SFIP日志管理\日志导出\查询日志导出状态（DSP EXPLOG）_91652968.md,查询日志导出状态（DSP EXPLOG）_91652968.md,UDG,SFIP管理,SFIP日志管理,日志导出,,SFIP管理 / SFIP日志管理 / 日志导出,查询日志导出状态,DSP EXPLOG,DSP,EXPLOG,91652968,no,3
D:\mywork\KnowledgeBase\SFCGraph\output\UDG_Product_Documentation_CH_20.15.2\OM参考\命令\UDG MML命令\SFIP管理\SFIP日志管理\日志导出\设置日志导出参数（EXP LOG）_42491895.md,设置日志导出参数（EXP LOG）_42491895.md,UDG,SFIP管理,SFIP日志管理,日志导出,,SFIP管理 / SFIP日志管理 / 日志导出,设置日志导出参数,EXP LOG,,EXP LOG,42491895,no,3
D:\mywork\KnowledgeBase\SFCGraph\output\UDG_Product_Documentation_CH_20.15.2\OM参考\命令\UDG MML命令\SFIP管理\业务链配置\修改业务链（MOD SRVCHAIN）_47006830.md,修改业务链（MOD SRVCHAIN）_47006830.md,UDG,SFIP管理,业务链配置,,,SFIP管理 / 业务链配置,修改业务链,MOD SRVCHAIN,MOD,SRVCHAIN,47006830,no,2
