object_id,object_name,object_name_zh,ne_type,service_category,service_domain,config_object_area,command_count,create_commands,read_commands,update_commands,delete_commands,other_commands,parameter_count,top_parameters,has_full_crud,classification_path
438dfd6102,5GGUMINFO,灰度升级所处于的阶段,UDG,平台服务管理,编排管理,灰度升级管理,2,[],"[""LST 5GGUMINFO""]","[""SET 5GGUMINFO""]",[],[],1,"[""STAGE""]",no,平台服务管理 / 编排管理 / 灰度升级管理
89ba8bca60,ABNTRADTTHR,异常流量检测报文阈值,UDG,用户面服务管理,业务防欺诈,异常下行流量检测阈值,2,[],"[""LST ABNTRADTTHR""]","[""SET ABNTRADTTHR""]",[],[],1,"[""DETECTTHR""]",no,用户面服务管理 / 业务防欺诈 / 异常下行流量检测阈值
9a66cf5612,ABNTRAFFICDT,异常流量检测开关,UDG,用户面服务管理,业务防欺诈,APN下终端异常下行流量检测开关,4,"[""ADD ABNTRAFFICDT""]","[""LST ABNTRAFFICDT""]","[""MOD ABNTRAFFICDT""]","[""RMV ABNTRAFFICDT""]",[],3,"[""APN"", ""SWITCH"", ""TRAFFICBEHAVIORSWITCH""]",yes,用户面服务管理 / 业务防欺诈 / APN下终端异常下行流量检测开关
b994a19795,ABSTIMERANGE,绝对时间段,UDG,用户面服务管理,业务匹配策略,业务过滤器管理,4,"[""ADD ABSTIMERANGE""]","[""LST ABSTIMERANGE""]","[""MOD ABSTIMERANGE""]","[""RMV ABSTIMERANGE""]",[],7,"[""ABSTIMERANGESEQ"", ""CFGDOMAINNAME"", ""ENDDATE"", ""ENDTIME"", ""STARTDATE"", ""STARTTIME"", ""TIMERANGENAME""]",yes,用户面服务管理 / 业务匹配策略 / 业务过滤器管理
2e96a765cc,ACC,加速器信息,UDG,平台服务管理,单体服务公共功能管理,系统管理,1,[],"[""DSP ACC""]",[],[],[],2,"[""RUNAME"", ""SERVICEINSTANCE""]",no,平台服务管理 / 单体服务公共功能管理 / 系统管理
770672c5ad,ACL,ACL,UDG,用户面服务管理,业务安全防护,用户ACL管理,4,"[""ADD ACL""]","[""LST ACL""]","[""MOD ACL""]","[""RMV ACL""]",[],3,"[""ACLNAME"", ""CFGDOMAINNAME"", ""MATCHORDER""]",yes,用户面服务管理 / 业务安全防护 / 用户ACL管理
a8303c8dcc,ACL6ADVRULECNTVERBOSE,高级ACL6规则匹配详细计数,UDG,平台服务管理,VNRS功能管理,操作维护,1,[],"[""DSP ACL6ADVRULECNTVERBOSE""]",[],[],[],2,"[""ACLNAME"", ""ACLRULENAME""]",no,平台服务管理 / VNRS功能管理 / 操作维护
75578a5362,ACL6BASICRULECNTVERBOSE,基本ACL6规则匹配详细计数,UDG,平台服务管理,VNRS功能管理,操作维护,1,[],"[""DSP ACL6BASICRULECNTVERBOSE""]",[],[],[],2,"[""ACLNAME"", ""ACLRULENAME""]",no,平台服务管理 / VNRS功能管理 / 操作维护
a7a4a1062e,ACLADV6RULECNT,高级IPv6 ACL规则匹配计数,UDG,平台服务管理,VNRS功能管理,IP服务,1,[],"[""DSP ACLADV6RULECNT""]",[],[],[],2,"[""ACLNAME"", ""ACLRULENAME""]",no,平台服务管理 / VNRS功能管理 / IP服务
cc468f73e6,ACLADVRULECNT,高级ACL规则匹配计数,UDG,平台服务管理,VNRS功能管理,IP服务,1,[],"[""DSP ACLADVRULECNT""]",[],[],[],2,"[""ACLNAME"", ""ACLRULENAME""]",no,平台服务管理 / VNRS功能管理 / IP服务
