param_id,command_name,param_identifier,enum_value,enum_label,enum_description
17a6bf1027,DSP NATSESSION,QUERYTYPE,IMSI,,IMSI。
17a6bf1027,DSP NATSESSION,QUERYTYPE,IPV4,,IPV4。
17a6bf1027,DSP NATSESSION,QUERYTYPE,IPV6,,IPV6。
fddb6f9e0b,DSP NATSTATICMAPPING,QUERYTYPE,GLOBALIPV4,,公网IPv4地址。
37cb3b5729,SET SAAITRAINPARA,AITRAINSWITCH,ENABLE,,Intelligence训练功能开启。
11209c27fa,EXP LOG,SWITCH,DISABLE,,关闭。
11209c27fa,EXP LOG,SWITCH,ENABLE,,打开。
4204944e29,EXP LOG,IPVERSION,IPV4,,表示地址类型为IPv4。
4204944e29,EXP LOG,IPVERSION,IPV6,,表示地址类型为IPv6。
4204944e29,EXP LOG,IPVERSION,IPV4_IPV6,,同时支持IPv4和IPv6地址。
6eb4cad028,SET DNSINFO,SELECT,AUTHINFO,,BAM认证信息。
6eb4cad028,SET DNSINFO,SELECT,ALL,,全部。
383767ba9d,EXC DNSCFGTASK,TASKACT,DEPLOY,,部署任务。
383767ba9d,EXC DNSCFGTASK,TASKACT,PRE_VERIFY,,预处理。
383767ba9d,EXC DNSCFGTASK,TASKACT,POST_VERIFY,,后处理。
383767ba9d,EXC DNSCFGTASK,TASKACT,CLEAR,,清除任务状态。
383767ba9d,EXC DNSCFGTASK,TASKACT,QRYCACHE,,查询任务缓存。
383767ba9d,EXC DNSCFGTASK,TASKACT,QRYDB,,查询DNS数据库。
88c6ba3f89,SET DNSIPRESOURCE,IPVERSION,IPV4,,IPv4。
88c6ba3f89,SET DNSIPRESOURCE,IPVERSION,IPV6,,IPv6。
88c6ba3f89,SET DNSIPRESOURCE,IPVERSION,IPV4_IPV6,,同时支持IPv4和IPv6。
df7dd6561e,ADD ZONE,DEPLOYABLE,FALSE,,否。
df7dd6561e,ADD ZONE,DEPLOYABLE,TRUE,,是。
24eba5122d,MOD RESREC,TYPE,A,,A记录。
24eba5122d,MOD RESREC,TYPE,AAAA,,AAAA记录。
24eba5122d,MOD RESREC,TYPE,NAPTR,,NAPTR记录。
24eba5122d,MOD RESREC,TYPE,SRV,,SRV记录。
24eba5122d,MOD RESREC,TYPE,NS,,NS记录。
1be7e8080a,MOD RESREC,FLAGS,S,,S。
1be7e8080a,MOD RESREC,FLAGS,A,,A。
1be7e8080a,MOD RESREC,FLAGS,U,,U。
1be7e8080a,MOD RESREC,FLAGS,AAAA,,AAAA。
1be7e8080a,MOD RESREC,FLAGS,NULL,,NULL。
44c3f0201e,MOD RESREC,MOD_NAPTR_TYPE,NAPTR_ORDER,,修改NAPTR记录的顺序值。
44c3f0201e,MOD RESREC,MOD_NAPTR_TYPE,NAPTR_PREFERENCE,,修改NAPTR记录的偏好值。
44c3f0201e,MOD RESREC,MOD_NAPTR_TYPE,NAPTR_ORDER_PREFERENCE,,修改NAPTR记录的顺序值和偏好值。
d63ed87b72,RMV RESREC,TYPE,A,,A记录。
d63ed87b72,RMV RESREC,TYPE,AAAA,,AAAA记录。
d63ed87b72,RMV RESREC,TYPE,NAPTR,,NAPTR记录。
d63ed87b72,RMV RESREC,TYPE,SRV,,SRV记录。
d63ed87b72,RMV RESREC,TYPE,NS,,NS记录。
adefabb568,RMV RESREC,FLAGS,S,,S。
adefabb568,RMV RESREC,FLAGS,A,,A。
adefabb568,RMV RESREC,FLAGS,U,,U。
adefabb568,RMV RESREC,FLAGS,AAAA,,AAAA。
adefabb568,RMV RESREC,FLAGS,NULL,,NULL。
11a3a90cee,ADD RESREC,TYPE,A,,A记录。
11a3a90cee,ADD RESREC,TYPE,AAAA,,AAAA记录。
11a3a90cee,ADD RESREC,TYPE,NAPTR,,NAPTR记录。
11a3a90cee,ADD RESREC,TYPE,SRV,,SRV记录。
11a3a90cee,ADD RESREC,TYPE,NS,,NS记录。
d39d71d662,ADD RESREC,FLAGS,S,,S。
d39d71d662,ADD RESREC,FLAGS,A,,A。
d39d71d662,ADD RESREC,FLAGS,U,,U。
d39d71d662,ADD RESREC,FLAGS,AAAA,,AAAA。
d39d71d662,ADD RESREC,FLAGS,NULL,,NULL。
34d5f7fb0e,LST RESREC,TYPE,AAAA,,AAAA记录。
34d5f7fb0e,LST RESREC,TYPE,NAPTR,,NAPTR记录。
34d5f7fb0e,LST RESREC,TYPE,SRV,,SRV记录。
34d5f7fb0e,LST RESREC,TYPE,NS,,NS记录。
0ad15f238a,MOD SFIPSRVIP,IPVERSION,IPV4,,表示地址类型为IPv4。
0ad15f238a,MOD SFIPSRVIP,IPVERSION,IPV6,,表示地址类型为IPv6。
0ad15f238a,MOD SFIPSRVIP,IPVERSION,IPV4_IPV6,,同时支持IPv4和IPv6地址。
7a07c234df,ADD SFIPSRVIP,IPVERSION,IPV4,,表示地址类型为IPv4。
7a07c234df,ADD SFIPSRVIP,IPVERSION,IPV6,,表示地址类型为IPv6。
7a07c234df,ADD SFIPSRVIP,IPVERSION,IPV4_IPV6,,同时支持IPv4和IPv6地址。
387dd96dba,SET TOIPISOLATION,IPISOLATIONSWITCH,DISABLE,,不使能。
387dd96dba,SET TOIPISOLATION,IPISOLATIONSWITCH,ENABLE,,使能。
67550d0bd0,SET TOTUNCFG,TUNINGROSWITCH,ENABLE,,使能。
67550d0bd0,SET TOTUNCFG,TUNINGROSWITCH,DISABLE,,不使能。
dd696aeda4,SET TOTUNCFG,TUNOUTGSOSWITCH,ENABLE,,使能。
dd696aeda4,SET TOTUNCFG,TUNOUTGSOSWITCH,DISABLE,,DISABLE。
fb7e4d0de2,SET TOPROXYCFG,LINKPARALLELSWITCH,DISABLE,,不使能。
fb7e4d0de2,SET TOPROXYCFG,LINKPARALLELSWITCH,ENABLE,,使能。
2e3c468241,SET TOPROXYCFG,TCPLINGERTIMESWITCH,DISABLE,,不使能。
2e3c468241,SET TOPROXYCFG,TCPLINGERTIMESWITCH,ENABLE,,使能。
cd6b986af0,SET TOPROXYCFG,SESSIONCHECKSWITCH,DISABLE,,不使能。
cd6b986af0,SET TOPROXYCFG,SESSIONCHECKSWITCH,ENABLE,,使能。
130c0c2c7a,SET TOPROXYCFG,UEKEEPALIVESWITCH,DISABLE,,不使能。
130c0c2c7a,SET TOPROXYCFG,UEKEEPALIVESWITCH,ENABLE,,使能。
20e203db05,SET TOPROXYCFG,TCPPACINGSWITCH,DISABLE,,不使能。
20e203db05,SET TOPROXYCFG,TCPPACINGSWITCH,ENABLE,,使能。
5d2b69d849,SET TOPROXYCFG,AUTOADJPARASWITCH,DISABLE,,不使能。
5d2b69d849,SET TOPROXYCFG,AUTOADJPARASWITCH,ENABLE,,使能。
95e5482ad1,SET TOPROXYCFG,QUICKACKSWITCH,DISABLE,,不使能。
95e5482ad1,SET TOPROXYCFG,QUICKACKSWITCH,ENABLE,,使能。
e62abff2da,SET TOPROXYCFG,TCPSYNCOOKIES,DISABLE,,不使能。
e62abff2da,SET TOPROXYCFG,TCPSYNCOOKIES,ENABLE,,使能。
760a08fc65,SET TOPLYPRIORITY,COMBTYPE,TO_MATCH_CELL,,仅匹配CellGroupName。
760a08fc65,SET TOPLYPRIORITY,COMBTYPE,TO_MATCH_RAT,,仅匹配RATtype。
760a08fc65,SET TOPLYPRIORITY,COMBTYPE,TO_MATCH_RAT_IMSI,,仅匹配RATtype和IMSIGroupName。
760a08fc65,SET TOPLYPRIORITY,COMBTYPE,TO_MATCH_CELL_IMSI,,仅匹配CellGroupName和IMSIGroupName。
760a08fc65,SET TOPLYPRIORITY,COMBTYPE,TO_MATCH_RAT_CELL,,仅匹配RATtype和CellGroupName。
760a08fc65,SET TOPLYPRIORITY,COMBTYPE,TO_MATCH_ALL,,RATtype，CellGroupName和IMSIGroupName均需要匹配中。
a12a702124,RMV TOPOLICYMATCH,RATTYPE,EUTRAN,,4G用户。
a12a702124,RMV TOPOLICYMATCH,RATTYPE,NR,,5G用户。
ac9a82e7a3,ADD TOPOLICYMATCH,RATTYPE,EUTRAN,,4G用户。
ac9a82e7a3,ADD TOPOLICYMATCH,RATTYPE,NR,,5G用户。
adfafdb255,SET TOEVALUATEPARA,TOEVASWITCH,ENABLE,,使能。
1888161962,SET TORELIABLECFG,TCPMTUPROBING,DISABLE,,不使能。
1888161962,SET TORELIABLECFG,TCPMTUPROBING,ENABLE,,使能。
1796e8c7ae,SET TORELIABLECFG,FLOWCTRLSW,DISABLE,,DISABLE。
1796e8c7ae,SET TORELIABLECFG,FLOWCTRLSW,CTRL_BASED_TCP_SNDBUFF,,按照TCP发送缓存是否阻塞控制。
1796e8c7ae,SET TORELIABLECFG,FLOWCTRLSW,CTRL_BESED_APP_BUFFER,,按照应用层缓存规格控制。
d95ce5371f,ADD TOBYPASSCFG,MODE,mode2,,所有的流量都上送to pod，但是不上送内核。
c1989e2594,MOD TOBYPASSCFG,MODE,mode2,,所有的流量都上送to pod，但是不上送内核。
1749f7b67e,SET TOFLOWAGINGCFG,FLOWAGINGSWITCH,DISABLE,,不使能。
1749f7b67e,SET TOFLOWAGINGCFG,FLOWAGINGSWITCH,ENABLE,,使能。
be63d3e376,ADD TOPOLICYCFG,CCALG,MW3,,CCALG_MW3。
be63d3e376,ADD TOPOLICYCFG,CCALG,BIC,,CCALG_BIC。
be63d3e376,ADD TOPOLICYCFG,CCALG,BBR,,CCALG_BBR。
be63d3e376,ADD TOPOLICYCFG,CCALG,EBBR,,CCALG_EBBR。
8026c40602,SET TOALGCFG,CCALG,CUBIC,,CCALG_CUBIC。
8026c40602,SET TOALGCFG,CCALG,MW3,,CCALG_MW3。
8026c40602,SET TOALGCFG,CCALG,BIC,,CCALG_BIC。
8026c40602,SET TOALGCFG,CCALG,BBR,,CCALG_BBR。
8026c40602,SET TOALGCFG,CCALG,EBBR,,CCALG_EBBR。
4c0c7ab8f9,SET TOALGCFG,TCPCUBICHYSTART,DISABLE,,不使能。
4c0c7ab8f9,SET TOALGCFG,TCPCUBICHYSTART,ENABLE,,使能。
5d85bc894f,SET TOALGCFG,TCPFORWARDACK,DISABLE,,不使能。
5d85bc894f,SET TOALGCFG,TCPFORWARDACK,ENABLE,,使能。
56dde7fd14,SET TOALGCFG,EBBRUSEPKTCVS,DISABLE,,不使能。
56dde7fd14,SET TOALGCFG,EBBRUSEPKTCVS,ENABLE,,使能。
d86a2cda37,SET TOALGCFG,EBBRUSE2BDP,DISABLE,,不使能。
d86a2cda37,SET TOALGCFG,EBBRUSE2BDP,ENABLE,,使能。
2b324063fe,SET TOALGCFG,EBBRUSELCYCLE,DISABLE,,不使能。
2b324063fe,SET TOALGCFG,EBBRUSELCYCLE,ENABLE,,使能。
5fac03e0f7,SET TOALGCFG,EBBRLOTGEXSTUP,DISABLE,,不使能。
5fac03e0f7,SET TOALGCFG,EBBRLOTGEXSTUP,ENABLE,,使能。
ae4ec97aa2,SET TOALGCFG,EBBRCRETGCWCP,DISABLE,,不使能。
ae4ec97aa2,SET TOALGCFG,EBBRCRETGCWCP,ENABLE,,使能。
e8f93636e0,SET TOALGCFG,EBBRRTTCNTINPB,DISABLE,,不使能。
e8f93636e0,SET TOALGCFG,EBBRRTTCNTINPB,ENABLE,,使能。
c0a9c7edfa,SET TOALGCFG,EBBRSPLTACKRT,DISABLE,,不使能。
c0a9c7edfa,SET TOALGCFG,EBBRSPLTACKRT,ENABLE,,使能。
8fce21755b,SET TOALGCFG,EBBRCOMPAGGR,DISABLE,,不使能。
8fce21755b,SET TOALGCFG,EBBRCOMPAGGR,ENABLE,,使能。
9bfc9c0553,SET TOALGCFG,EBBRAGGRDLEX,DISABLE,,不使能。
9bfc9c0553,SET TOALGCFG,EBBRAGGRDLEX,ENABLE,,使能。
e2af14c9e5,SET TOALGCFG,EBBRDRAININRB,DISABLE,,不使能。
e2af14c9e5,SET TOALGCFG,EBBRDRAININRB,ENABLE,,使能。
887e22d723,SET TOALGCFG,EBBRAARCWND,DISABLE,,不使能。
887e22d723,SET TOALGCFG,EBBRAARCWND,ENABLE,,使能。
87d250b8a8,SET TOALGCFG,EBBRAARCWNDRD,DISABLE,,不使能。
87d250b8a8,SET TOALGCFG,EBBRAARCWNDRD,ENABLE,,使能。
df5c15bc57,SET TOALGCFG,EBBRTREPBW,DISABLE,,不使能。
df5c15bc57,SET TOALGCFG,EBBRTREPBW,ENABLE,,使能。
41f57411b7,SET TOALGCFG,EBBRTREPRTT,DISABLE,,不使能。
41f57411b7,SET TOALGCFG,EBBRTREPRTT,ENABLE,,使能。
f1dd64412d,SET TOALGCFG,EBBRELBTECC,DISABLE,,不使能。
f1dd64412d,SET TOALGCFG,EBBRELBTECC,ENABLE,,使能。
33c123eea0,SET TOALGCFG,EBBRTRPCYINF,DISABLE,,不使能。
33c123eea0,SET TOALGCFG,EBBRTRPCYINF,ENABLE,,使能。
ed454b57ee,SET TOALGCFG,EBBRTRPCYINFTR,DISABLE,,不使能。
ed454b57ee,SET TOALGCFG,EBBRTRPCYINFTR,ENABLE,,使能。
d0974e6271,SET TORESMGTCFG,TCPTWREUSESW,DISABLE,,不使能。
d0974e6271,SET TORESMGTCFG,TCPTWREUSESW,ENABLE,,使能。
c417cc5551,ACT TORESTTO,SWITCH,DISABLE,,不使能。
c417cc5551,ACT TORESTTO,SWITCH,ENABLE,,使能。
ef4923874f,SET TOSERVERIPBYPASS,SERVERIPBYPASSSWITCH,DISABLE,,不使能。
ef4923874f,SET TOSERVERIPBYPASS,SERVERIPBYPASSSWITCH,ENABLE,,使能。
db3d4121c8,SET RPTGLBPARA,URLRPTCTRL,HOST,,只上报主机的URL。
b18e1d3d67,SET RPTGLBPARA,SRVLOADCTRL,ENABLE,,使能（开启）。
1d60319ac4,SET RPTGLBPARA,TLSNAMEINFORPTCTRL,ENABLE,,使能（开启）。
