id,feature_id,feature_name,product_type,product_version,is_directory,section,parent_feature_id,SGSN(2.5&3G),GGSN-C(2.5&3G),MME(4G),S/PGW-C(4G),NB-IoT(4G),5G MME(5G NSA),5G S/PGW-C(5G NSA),AMF(5G SA),SMF(5G SA),NRF(5G SA)
UNC:NPFD-010000,NPFD-010000,操作维护功能,UNC,20.15.2,true,网管特性,,目录,,,,,,,,,
UNC:NPFD-010001,NPFD-010001,性能管理,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010002,NPFD-010002,软件管理,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010003,NPFD-010003,故障管理,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010004,NPFD-010004,设备管理,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010005,NPFD-010005,配置管理,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010006,NPFD-010006,安全管理,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010007,NPFD-010007,日志管理,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010008,NPFD-010008,联机帮助,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010009,NPFD-010009,软件补丁,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010010,NPFD-010010,在线加载,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010011,NPFD-010011,远程维护,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010019,NPFD-010019,拓扑管理,UNC,20.15.2,false,网管特性,NPFD-010000,-,-,-,-,-,-,-,M,M,M
UNC:NPFD-010013,NPFD-010013,跟踪功能,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010014,NPFD-010014,支持NTP功能,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010017,NPFD-010017,SSH功能,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:NPFD-010018,NPFD-010018,可靠性,UNC,20.15.2,false,网管特性,NPFD-010000,M,M,M,M,M,M,M,M,M,M
UNC:IPFD-010000,IPFD-010000,接口与链路,UNC,20.15.2,true,IP基本特性,,目录,,,,,,,,,
