id,feature_id,license_number,license_code,license_name,applicable_nf
WSFD-010000:license:LKV2SSBA01,WSFD-010000,LKV2SSBA01,81203321,支持SBA架构,
WSFD-010001:license:KV2SCDSA01,WSFD-010001,KV2SCDSA01,81203322,支持云化分布式软件架构,
WSFD-010002:license:81203358,WSFD-010002,81203358,LKV2SCVA01,支持2/3/4/5G融合架构,
WSFD-010003:license:LKV2SMSA01,WSFD-010003,LKV2SMSA01,81203323,支持微服务架构,
WSFD-010004:license:81203324,WSFD-010004,81203324,LKV2UEMA01,事件统一管理架构,
WSFD-010110:license:82200GSP,WSFD-010110,82200GSP,LKV2REDCAPSM01,支持RedCap接入功能 - USM,
WSFD-011501:license:82209133,WSFD-011501,82209133,LKV2NSASAU01,5G NSA(Opt.3)附着用户数,MME
WSFD-011501:license:82209135,WSFD-011501,82209135,LKV2NSASAU02,5G NSA(Opt.3)承载数,MME
WSFD-011501:license:81202984,WSFD-011501,81202984,LKV2UNCBASE01,5G超高带宽基本功能(1Gbps) - UAM,AMF
WSFD-011501:license:82209137,WSFD-011501,82209137,LKV2UNCBAND01,5G超高带宽高速承载接入(1Gbps) - UAM,AMF
WSFD-011501:license:81203000,WSFD-011501,81203000,LKV2UNCBASE02,5G超高带宽基本功能(2Gbps) - UAM,AMF
WSFD-011501:license:82209187,WSFD-011501,82209187,LKV2UNCBAND02,5G超高带宽高速承载接入(2Gbps) - UAM,AMF
WSFD-011501:license:82209149,WSFD-011501,82209149,LKV2UNCUP01,支持基于终端能力选择用户面,MME
WSFD-011501:license:82209150,WSFD-011501,82209150,LKV2UNCUP02,5G用户业务连续性保障,SGSN
WSFD-011503:license:82209133,WSFD-011503,82209133,LKV2NSASAU01,5G NSA(Opt.3)附着用户数,
WSFD-011603:license:82208412,WSFD-011603,82208412,LKV2USRF01,NB-IoT UE状态上报功能,
WSFD-102001:license:82206605,WSFD-102001,82206605,LKV2VOLTE01,VoLTE基础特性,
WSFD-102003:license:82206605,WSFD-102003,82206605,LKV2VOLTE01,VoLTE基础特性,
WSFD-102005:license:82206605,WSFD-102005,82206605,LKV2VOLTE01,VoLTE基础特性,
WSFD-102101:license:82208004,WSFD-102101,82208004,LKV3W9ECAL11,VoLTE紧急呼叫,
WSFD-102102:license:82207701,WSFD-102102,82207701,LKV2NVEC01,VoLTE紧急呼叫的定位(NI-LR),
WSFD-102202:license:82208005,WSFD-102202,82208005,LKV3W9IMSR11,P-CSCF故障时IMS业务恢复,
WSFD-102203:license:82208383,WSFD-102203,82208383,LKV3WPCSCF11,基于PCRF的P-CSCF故障恢复,
WSFD-102301:license:82205925,WSFD-102301,82205925,LKV2CSFBGU02,基于CSFB的语音业务,
WSFD-102401:license:82206157,WSFD-102401,82206157,LKV2CSFBEP01,基于CSFB的扩展业务包,
WSFD-102402:license:82206157,WSFD-102402,82206157,LKV2CSFBEP01,基于CSFB的扩展业务包,
WSFD-102403:license:82206157,WSFD-102403,82206157,LKV2CSFBEP01,基于CSFB的扩展业务包,
WSFD-102404:license:82206157,WSFD-102404,82206157,LKV2CSFBEP01,基于CSFB的扩展业务包,
WSFD-102501:license:82206156,WSFD-102501,82206156,LKV2CSFBEC01,CSFB紧急呼叫,
WSFD-102502:license:82205926,WSFD-102502,82205926,LKV2CSFB05,基于CSFB的优先语音服务,
WSFD-102503:license:82206601,WSFD-102503,82206601,LKV2CSCR01,CSFB被叫恢复,
WSFD-102504:license:82206602,WSFD-102504,82206602,LKV2CSFBMP02,MSC Pool场景下的CSFB,
WSFD-102505:license:82206604,WSFD-102505,82206604,LKV2CSFB04,基于CSFB的Multi PLMN,
WSFD-102506:license:82206603,WSFD-102506,82206603,LKV2CSFB03,Flash CSFB with RIM,
WSFD-102601:license:81202659,WSFD-102601,81202659,LKV2PPTF01,LTE一键通基础功能-UAM,
WSFD-102602:license:82207532,WSFD-102602,82207532,LKV2QPPT01,LTE一键通-UAM,
WSFD-102701:license:82200ELQ,WSFD-102701,82200ELQ,LKV2VONRMM01,VoNR基础语音业务-UAM,AMF
WSFD-102701:license:82200ELP,WSFD-102701,82200ELP,LKV2VONRSM01,VoNR基础语音业务-USM,SMF
WSFD-102702:license:82209907,WSFD-102702,82209907,LKV2EFBAM01,EPS Fallback-UAM,AMF
WSFD-102702:license:82209908,WSFD-102702,82209908,LKV2EFBSM01,EPS Fallback-USM,SMF
WSFD-102703:license:82200BNC,WSFD-102703,82200BNC,LKV2EFEC01,EPS Fallback紧急呼叫,
WSFD-102706:license:82200FFD,WSFD-102706,82200FFD,LKV2VONRECMM01,VoNR紧急呼叫-UAM,AMF
WSFD-102706:license:82200FEQ,WSFD-102706,82200FEQ,LKV2VONRECSM01,VoNR紧急呼叫-USM,SMF
WSFD-103004:license:82206595,WSFD-103004,82206595,LKV2EIR02,设备标识检查,
WSFD-103005:license:82205924,WSFD-103005,82205924,LKV2FLEXAUTH02,基于用户群的灵活鉴权,
WSFD-103006:license:82206552,WSFD-103006,82206552,LKV21NIMEI01,1/N设备标识检查,
WSFD-103007:license:82209909,WSFD-103007,82209909,LKV2IMSIPP01,IMSI隐私保护,
WSFD-104001:license:82209965,WSFD-104001,82209965,LKV2IPV6AM01,IPv6承载上下文-UAM,AMF
WSFD-104001:license:82209968,WSFD-104001,82209968,LKV2IPV6SM01,IPv6承载上下文-USM,SMF
WSFD-104002:license:82206569,WSFD-104002,82206569,LKV2DUSA02,IPv4v6双栈接入,SGSN、<br>MME
WSFD-104002:license:82209969,WSFD-104002,82209969,LKV2IPDSSM01,IPv4v6双栈接入,GGSN、<br>SGW-C、PGW-C
WSFD-104003:license:82208001,WSFD-104003,82208001,LKV3W9V6OC12,IPv6 在线计费,
WSFD-104004:license:82208006,WSFD-104004,82208006,LKV3W9V6PD11,IPv6 前缀代理 ”,
WSFD-104005:license:82209423,WSFD-104005,82209423,LKV3W9V6AA11,DHCPv6地址分配,
WSFD-104101:license:82205875,WSFD-104101,82205875,LKV2POOL02,MME Pool,
WSFD-104102:license:82206556,WSFD-104102,82206556,LKV2POOLOC02,MME 过载控制,
WSFD-104103:license:82205876,WSFD-104103,82205876,LKV2MMEMG02,MME Pool用户迁移,
WSFD-104201:license:82206553,WSFD-104201,82206553,LKV2SGSNMG02,SGSN Pool用户迁移,
WSFD-104202:license:81202446,WSFD-104202,81202446,LKV2MSCMG02,MSC Pool内的用户迁移(Gs接口),
WSFD-104203:license:82206554,WSFD-104203,82206554,LKV2IUFLEX02,Iu-flex,
WSFD-104204:license:82206555,WSFD-104204,82206555,LKV2GBFLEX02,Gb-flex,
WSFD-104301:license:82209910,WSFD-104301,82209910,LKV2AMFPL01,AMF Pool,
WSFD-104302:license:82200BAG,WSFD-104302,82200BAG,LKV2SMAP01,AMF Pool用户迁移,
WSFD-104402:license:82206558,WSFD-104402,82206558,LKV2SON02,eNodeB SON信息传送功能,
WSFD-104404:license:82205878,WSFD-104404,82205878,LKV2DMLS01,基于权重/优先级的Diameter负荷分担,
WSFD-104405:license:82206559,WSFD-104405,82206559,LKV2DMSC01,基于SGs和Sv接口的默认MSC选择,
WSFD-104406:license:82206565,WSFD-104406,82206565,LKV2NACC02,NACC,
WSFD-104407:license:82206566,WSFD-104407,82206566,LKV2GSINTF02,支持Gs接口,
WSFD-104408:license:82205923,WSFD-104408,82205923,LKV2SMSGU02,通过SGs接口实现短消息,
WSFD-104409:license:82207545,WSFD-104409,82207545,LKV2MUSP01,多信令点功能,
WSFD-104411:license:81203325,WSFD-104411,81203325,LKV2MPVPN01,MPLS VPN,
WSFD-104412:license:81202714,WSFD-104412,81202714,LKV2V6IF01,逻辑接口支持IPv6,MME
WSFD-104412:license:81203247,WSFD-104412,81203247,LKV2INLISM01,逻辑接口支持IPv6-USM,SGW-C、PGW-C
WSFD-104412:license:81203246,WSFD-104412,81203246,LKV2INLIAM01,逻辑接口支持IPV6-UAM,AMF
WSFD-104412:license:81203247,WSFD-104412,81203247,LKV2INLISM01,逻辑接口支持IPv6-USM,SMF
WSFD-104412:license:81203248,WSFD-104412,81203248,LKV2INLINR01,逻辑接口支持IPV6-NRF,NRF
WSFD-104412:license:81203249,WSFD-104412,81203249,LKV2INLINS01,逻辑接口支持IPV6-NSSF,NSSF
WSFD-104413:license:82209430,WSFD-104413,82209430,LKV3W9DHCP12,DHCP功能,
WSFD-104504:license:82207531,WSFD-104504,82207531,LKV2NOHC01,CDMA与LTE的非优化切换,
WSFD-104505:license:82206567,WSFD-104505,82206567,LKV2WIFI01,LTE和WiFi 网络之间的切换,
WSFD-104506:license:82206557,WSFD-104506,82206557,LKV2DIRTUN02,支持Direct Tunnel功能,SGSN
WSFD-104506:license:82207936,WSFD-104506,82207936,LKV3W9DIRT11,支持Direct Tunnel功能,GGSN-C
WSFD-104507:license:82207533,WSFD-104507,82207533,LKV2SRVHD02,切换策略控制,
WSFD-104508:license:82208353,WSFD-104508,82208353,LKV3WPSCTP11,SCTP,
WSFD-104509:license:82208355,WSFD-104509,82208355,LKV3W9SBWL11,SGSN的黑白名单,
WSFD-104510:license:82209911,WSFD-104510,82209911,LKV2NRLSAM01,LTE与5G SA网络重选-UAM,AMF
WSFD-104510:license:82209912,WSFD-104510,82209912,LKV2NRLSSM01,LTE与5G SA网络重选-USM,SMF
WSFD-104510:license:82209696,WSFD-104510,82209696,LKV2NRBL5,LTE和5G网络间重选,MME
WSFD-104511:license:82209913,WSFD-104511,82209913,LKV2HOLSAM01,LTE与5G SA网络间切换-UAM,AMF
WSFD-104511:license:82209914,WSFD-104511,82209914,LKV2HOLSSM01,LTE与5G SA网络间切换-USM,SMF
WSFD-104511:license:82209697,WSFD-104511,82209697,LKV2PHBL5,LTE和5G网络间切换,MME
WSFD-104601:license:82209149,WSFD-104601,82209149,LKV2UNCUP01,支持基于终端能力选择用户面,
WSFD-104602:license:82209150,WSFD-104602,82209150,LKV2UNCUP02,5G用户业务连续性保障,
WSFD-105001:license:82206545,WSFD-105001,82206545,LKV2QOSOW02,QoS覆盖,
WSFD-105002:license:82206551,WSFD-105002,82206551,LKV2RSQR01,漫游用户QoS限制,
